reference,cardinality,codelist,component,datatype,description,name,notes,entry-date,start-date,end-date
details,1,,,string,Additional details or information about an item,Details,,2025-06-26,,
related-proposals,n,,related-proposal,object,A set of related proposals with application type and decision date,Related proposals,,2025-09-09,,
site-activity-details,1,,,string,"Description of activities, processes, and end products including site operations, plant, ventilation, and machinery",Site activity details,,2025-07-09,,
related-application,1,,related-application-details,object,"Details about the approved development, as shown in the decision letter",Related application,,2025-06-12,,
roof-pitch-matching,1,,,boolean,Will the roof pitch of the extended dwelling match the existing roof pitch,Roof pitch matching,,2025-07-18,,
site,1,,,string,Reference for the associated site,Site,,2026-01-19,,
use-class-accommodation,1,,,enum,Type of non-residential use class referring to accommodation uses,Use class for accommodation,"Only required for C1, C2, C2A, or Other use classes. Used to indicate gain or loss in room counts
",2025-07-17,,
advert-placed-date,1,,,datetime,Date when the advertisement was placed (YYYY-MM-DD format),Advert placed date,,2025-07-09,,
is-replacement-advert,1,,,boolean,Whether this is a replacement advertisement,Is replacement advert,,2025-07-09,,
file,1,,file,object,The digital file or a reference to where the file is stored,File,,2025-06-20,,
is-total-gross-proposed-known,1,,,boolean,Whether the total gross proposed floorspace is known,Is total gross proposed known,,2025-08-28,,
operational-times,n,,operational-times,object,Structured data for operational hours by day,Operational times,Must be completed if hours-not-known is not provided,2025-07-16,,
providing-additional-material-information,1,,,boolean,Is the applicant providing additional materials information on submitted plan(s)/drawing(s)/design and access statement?,Providing additional material information,,2025-06-13,,
full-time,1,,,number,Number of full-time employees,Full-time,,2025-07-08,,
proposal-change-of-use-description,1,,,string,Description of the change of use included in the proposal,Proposal change of use description,Required if proposal-incl-change-of-use is true,2025-07-17,,
easting,1,,,number,Easting coordinate in British National Grid (EPSG:27700),Easting,,2025-06-13,,
roof-height-exceeds-7m,1,,,boolean,Will the roof exceed 7 metres above the highest part of the existing roof,Roof height exceeds 7m,,2025-07-18,,
bng-condition-exemption-reasons,n,,bng-exemption-reason,object,"Reasons why BNG does not apply, referencing exemptions or transitional arrangements",Biodiversity gain condition exemption reason,,2025-06-16,,
storage-facilities-description,1,,,string,"Details and proposed facilities for the storage of oil, fuel and chemicals and the proposed means of their protection",Storage facilities description,,2025-07-08,,
supporting-applications,n,,supporting-applications,object,"List of supporting planning permissions, certificates, or notices affecting the application site",Supporting applications,,2025-07-10,,
waste-storage-area-details,1,,,string,"Details of the waste storage area including location, size, design and access arrangements",Waste storage area details,,2025-07-08,,
proposal-existing-use-stop-date,1,,,string,Date when the existing use stopped or will stop,Proposal existing use stop date,,2025-07-17,,
have-consulted,1,,,boolean,Whether community consultation has been carried out,Have consulted,,2025-07-08,,
temporary-details,1,,,string,Details of temporary use including duration and specific arrangements,Temporary details,,2025-07-17,,
supporting-evidence,1,,,string,Description or reference to supporting documents for habitat loss or degradation evidence,Supporting evidence,,2025-06-16,,
removal-reasons,1,,,string,Reasons for the proposed removal of hedgerow(s),Removal reasons,,2025-07-17,,
proposal-waste-management-outline,1,,,enum,Whether the proposal involves waste management development (yes/no/unknown),Proposal waste management outline variant,,2025-07-09,,
advertisement-other-description,1,,,string,Details required if other advertisement type is selected,Advertisement other description,,2025-07-08,,
declaration-date,1,,,string,The date the declaration was made,Declaration date,,2025-06-12,,
new-document,1,,,string,Reference for the new document replacing the old document in the amendment,New document,,2025-07-15,,
causing-structural-damage,1,,,boolean,Whether structural damage is being caused by the tree(s),Causing structural damage,,2025-07-01,,
agent-signature,1,,,string,Digital signature of the agent (if applicable),Agent signature,,2025-06-13,,
has-existing-use-interrupted,1,,,boolean,Indicating whether the existing use has been interrupted since it commenced,Existing use interrupted,,2025-07-15,,
advertisement-type,1,,,enum,One of the advertisement-types or other,Advertisement type,,2025-07-08,,
proposal-incl-building-operations,1,,,boolean,Does the proposal include building operations?,Proposal incl building operations,For lawful development certificate for proposed work,2025-07-17,,
site-area-in-hectares,1,,,number,The size of the site in hectares,Site area in hectares,,2025-07-02,,
new-altered-vehicle,1,,,enum,Is a new or altered vehicle access proposed to/from the public highway,New or altered vehicle access,,2025-06-13,,
illuminance-level,1,,,number,Level of illuminance for the advertisement,Illuminance level,Unit: cd/m2,2025-07-17,,
steps-taken,1,,,string,Description of steps taken to identify unknown owners or tenants,Steps taken,,2025-06-13,,
conflict-details,1,,,string,"Details of the conflict of interest including name, role and how the individual is related to the planning authority",Conflict details,,2025-06-16,,
is-existing-parking-affected,1,,,boolean,Will the proposed works affect existing car parking arrangements,Existing parking affected,,2025-06-12,,
colour,1,,,string,Colour of proposed sign,Colour,,2025-07-17,,
illumination-type,1,,,enum,Type of illumination (static or intermittent),Illumination type,,2025-07-17,,
site-boundary,1,,,wkt,"Geometry of the site of the development, typically in GeoJSON format",Site boundary,,2025-06-13,,
plan-references,n,,,string,References to plans showing the stretches of hedgerows to be removed,Plan references,,2025-07-17,,
development-phase,1,,,enum,Phases of oil and gas development the application covers,Development phase,,2025-07-02,,
proposed-unit-breakdown,n,,unit-quantities,object,Number of proposed units by bedroom count,Proposed unit breakdown,,2025-07-17,,
is-substituting-document,1,,,boolean,True or False indicating whether the amendment involves substituting documents,Substituting document,,2025-07-15,,
uprn,1,,,string,Unique Property Reference Number,UPRN,,2025-07-07,,
title,1,,,string,The title of the individual,Title,,2025-06-02,,
hazardous,1,,,number,Maximum throughput for hazardous waste (annual throughput in tonnes/litres),Hazardous,,2025-07-09,,
is-advert-in-place,1,,,boolean,Whether the advertisement is already in place,Is advert in place,,2025-07-09,,
draft-agreement-included,1,,,boolean,Has an outline or draft agreement been included? (True / False),Draft agreement included,,2025-06-26,,
max-extension-height,1,,,number,"Maximum height of the extension, measured externally from natural ground level in metres",Maximum extension height,,2025-07-14,,
owners-and-tenants,n,,notified-person,object,List of known owners and agricultural tenants,Owners and tenants,,2025-06-13,,
non-residential-change-outline,1,,,enum,"Does the proposal involve the loss, gain, or change of non-residential floorspace?",Non residential change,this is only used in outline applications where unknown is an option,2025-07-17,,
filename,1,,,string,Name of the file being uploaded useful for identifying and preserving the file,Filename,,2025-06-20,,
is-total-demolition,1,,,boolean,Indicating whether the proposal involves total demolition of a listed building,Is total demolition,,2025-06-30,,
eaves-height,1,,,number,"Height at the eaves of the extension, measured externally from natural ground level in metres",Eaves height,,2025-07-14,,
waste-streams,1,,waste-streams,object,Annual throughput for waste streams by waste type,Waste streams throughput,,2025-07-09,,
last-name,1,,,string,The last name of the individual,Last Name,,2025-06-02,,
fax-number,1,,,string,Fax number used to contact the individual,Fax number,,,,
symbol-height-max,1,,,number,"Maximum height, in metres, of any individual letters or symbols",Symbol height max,,2025-07-17,,
discharging-part-details,1,,,string,Indicate which part of the condition the application relates to,Discharging part details,,2025-07-07,,
mime-type,1,,,string,The file's MIME type such as application/pdf or image/jpeg,MIME type,,2025-06-20,,
annual-throughput,1,,,number,Maximum annual operational throughput in tonnes/litres,Annual throughput,,2025-07-09,,
closed,1,,,boolean,True or False - explicitly state when closed,Closed,"If True, open-time and close-time must be empty",2025-07-16,,
impact-on-amenity,1,,,string,"Details of the impacts on the amenity of any adjoining premises including overlooking, privacy and the loss of light including how these will be mitigated",Impact on amenity,,2025-07-14,,
additional-information,1,,,string,"Any additional information (such as hours of use of other machinery within the site-generators, pumps, etc)",Additional information,,2025-07-16,,
known-constraints,n,,,enum,A list of the known constraints affecting the site,Known constraints,,2025-06-26,,
metric-publication-date,1,,,datetime,Publication date of the biodiversity metric tool used for calculations,Metric publication date,,2025-06-16,,
flood-risk-assessment,1,,,string,Reference of the flood risk assessment document,Flood risk assessment,,2025-07-17,,
reference-number,1,,,string,Reference number of the planning permission,Reference number,,2025-06-26,,
ownership-notification,1,,,enum,"If not the sole owner, has notification been given under Article 10",Ownership notification,,2025-07-18,,
specified-use,1,,,string,A specified use if no applicable use class is available,Specified use,,2025-06-26,,
plans-documents,n,,plans-document,object,"List of plans, drawings, and supporting documents",Plans documents,,2025-07-14,,2026-01-14
causing-subsidence,1,,,boolean,Whether subsidence damage is being caused by the tree(s),Causing subsidence,,2025-07-01,,
old-drawing-reference,1,,,string,Reference of the old drawing being replaced,Old drawing reference,,2025-06-26,,
habitat-loss-after-2020,1,,,boolean,Indicates whether there has been degradation of onsite habitat(s) after 30 Jan 2020,Habitat loss after 2020,,2025-06-16,,
value,1,,,number,Numeric value representing a measurement or quantity,Value,,2025-06-26,,
data-provided-by,1,,,enum,Who provided the data: Applicant or System/Service?,Data provided by,opens possibility for services to work it out and not rely on the applicant to know,2025-07-17,,
hazardous-substance-other,1,,,string,The specific name of the hazardous substance if other is selected,Hazardous substance other,,2025-07-09,,
last-use-end-date,1,,,datetime,Date the last use ended (YYYY-MM-DD format),Last use end date,,2025-08-18,,
total-rooms-proposed,1,,,number,Total rooms proposed (including change of use),Total rooms proposed,Must be 0 or positive,2025-07-17,,
hazardous-sub-consent-details,1,,,string,Details of hazardous substance consent requirements,Hazardous substance consent details,,2025-07-09,,
modules,n,,,string,List of required modules for this application that can be used to validate the application,Modules,,2025-06-20,,
hours-of-operation,n,,hours-of-operation,object,List the hours of operation by non-residential use,Hours of operation,,2025-07-16,,
demolition-volume,1,,,number,Volume of part to be demolished in cubic metres,Demolition volume,,2025-06-30,,
tenure-type,1,,,enum,Category of housing tenure,Tenure type,,2025-07-17,,
tpo-provided-by,1,,,enum,How was the list of TPO references generated - by the applicant or system/service,TPO provided by,,2025-06-30,,
advert-end-date,1,,,datetime,The end of the time period that consent to advertisement is sought,Advert end date,,2025-07-07,,
addresses,n,,address,object,A list of addresses for the adjoining properties,Addresses,,2025-07-07,,
development-description,1,,,string,"Brief description of the development, including main oils, gases, and machinery",Development description,,2025-07-02,,
oilgas-permission-types,n,,,enum,List of permission types being applied for,Oil and gas permission types,,2025-09-09,,
was-use-granted-by-pdr,1,,,boolean,"Was the current use of the building granted by permitted development rights? If True, application cannot proceed.",Use granted by permitted development right,,2025-07-15,,
discharged-by,1,,,string,Reference to the decision record that discharged the condition,Discharged by,,2026-01-09,,
inspection-address,1,,,string,Full postal address where supporting material can be inspected,Inspection address,Should this be the address-text field,2025-01-10,,
application-sub-type,1,,,enum,Further classification of the application type for specific variations within the main application type,Application sub type,,2025-06-20,,
total-capacity,1,,,number,Total capacity of void in cubic metres (or tonnes/litres),Total capacity,,2025-07-09,,
air-traffic-defence-impacts,1,,,string,"Details of any air traffic and defence asset impacts, including how these will be mitigated",Air traffic defence impacts,,2025-07-14,,
applicants,n,,applicant,object,,Applicants,,,,
environmental-statement,1,,,boolean,Is an Environmental Statement attached to the application,Environmental statement,,2025-07-02,,
tree-removal,1,,,boolean,Whether trees or hedges need to be pruned or removed,Tree removal,,2025-06-12,,
site-vacant,1,,,boolean,Is the site currently vacant,Site vacant,,2025-08-18,,
biodiversity-features-impact,1,,,enum,Where is there a likelihood of important habitats or biodiversity features being affected?,Biodiversity features impact,,2025-07-08,,
building-element-type,1,,,enum,"The part of building the materials relate to, such as walls, roofs, windows, or doors",Building element type,,2025-06-13,,
total-existing,1,,,number,Total number of existing parking spaces,Total existing,,2025-07-08,,
proposal-alter-lb-types,n,,,enum,"Select from a list of listed building alteration types, select all that apply",Proposal alteration types,,2025-06-12,,
proposed-materials,1,,,string,Description of the materials proposed for this building element as part of the development,Proposed materials,,2025-06-13,,
name,1,,,string,A name of a person,Name,,2025-06-12,,
involves-hazardous-substances,1,,,enum,Indicates if hazardous substances are involved in the proposal,Involves hazardous substances,,2025-07-09,,
building-height-exceeds-18m,1,,,boolean,Will the height of the extended building exceed 18 metres,Building height exceeds 18m,,2025-07-18,,
net-additional-rooms,1,,,number,Net additional rooms following development,Net additional rooms,Calculated as total-rooms-proposed - existing-rooms-lost,2025-07-17,,
agreement-summary,1,,,string,Summary of the agreement,Agreement summary,,2025-06-26,,
proposal-waste-management,1,,,boolean,Whether the proposal involves waste management development,Proposal waste management,,2025-07-09,,
interested-persons,n,,ldc-interested-person,object,"Details of persons with an interest in the property including their personal information, nature of interest, and notification status",Interested persons,,2025-01-17,,
existing-use,n,,existing-use,object,Structured information on the current use of the site,Existing use,,2025-06-26,,
housing-type,1,,,enum,Type of housing,Housing type,,2025-07-17,,
is-applicant-owner,1,,,boolean,Whether the applicant owns the trees affected by the proposed works,Is applicant owner,,2025-06-30,,
newspaper-name,1,,,string,Name of the newspaper where the ownership notice was published,Newspaper name,,2025-06-13,,
applicant-interest-adjoining-land,1,,,string,Description of the applicant's interest in the adjacent land,Applicant interest adjoining land,,2025-07-09,,
publication-date,1,,,datetime,Date when the ownership notice was published in the newspaper,Publication date,,2025-06-13,,
reserved-matters,n,,,enum,Identifies which reserved matters are being submitted for approval as part of this application,Reserved matters,,2025-06-12,,
units-per-bedroom-no,n,,bedroom-count,object,Number of units broken down by bedroom count,Units per bedroom number,,2025-07-17,,
proposal-existing-use-description,1,,,string,Description of the existing use before the proposed change of use,Proposal existing use description,,2025-07-17,,
use,1,,,enum,A use class or type of use,Use,"an option needs to be ""other""",2025-06-26,,
related-permissions,n,,related-permission-details,object,List of related permissions,Related permissions,Used in onshore extraction of oil and gas applications,2025-12-05,,
net-dwellings-max,1,,,number,"The maximum number of net additional dwellings proposed as part of the development, allowing for flexibility in the final housing numbers",Net dwellings maximum,,2025-06-26,,
is-psi,1,,,boolean,"For applications made on or after 1 August 2021, is the proposal for public service infrastructure development",Is public service infrastructure,,2025-06-12,,
hazardous-substance-type,1,,,enum,Reference of hazardous substance type from predefined list,Hazardous substance type,,2025-07-09,,
received-date,1,,,datetime,"Date the planning authority received the application, in YYYY-MM-DD format",Received date,,2026-01-06,,
is-within-site-constraints,1,,,boolean,Is the dwellinghouse within any restricted area,Within site constraints,,2025-07-10,,
permission-obtained,1,,,boolean,True or False indicating whether permission of the owner for the display of an advertisement has been obtained,Permission obtained,,2025-07-08,,
conflict-to-declare,1,,,boolean,Indicates whether any named applicant or agent has a relationship to the planning authority that must be declared,Conflict to declare,,2025-06-16,,
units,1,,,number,The number of units of that bedroom count,Units,,2025-07-17,,
species,1,,,string,The species of the tree,Species,,2025-06-30,,
company,1,,,string,The name of a company (that the agent works for),Company,,2025-06-02,,
produce-foul-sewage,1,,,boolean,Whether the proposed development will produce any foul sewage,Produce foul sewage,,2025-07-09,,
proposed-height,1,,,number,Height once the additional storeys have been added in metres,Proposed height,,2025-07-14,,
other-contact,1,,other-contact,object,Details of specifically named contact for site visits,Other site visit contact,,2025-06-12,,
listed-building,1,,,string,Listed building reference for cross-referencing with listed building records,Listed building,,2025-01-05,,
is-extension-beyond-rear-wall,1,,,boolean,Will the extension extend beyond the rear wall of the original dwelling,Extension beyond rear wall,,2025-07-10,,
amount,1,,,number,The total amount due for the application fee,Amount,,2025-06-20,,
officer-name,1,,,string,Name of the planning officer who provided the pre-application advice,Officer name,,2025-06-12,,
description,1,,,string,"A text description providing details about the subject. For parking changes, this describes how the proposed works affect existing car parking arrangements.",Description,,2025-06-12,,
checksum,1,,,string,Hash of the file contents used for file validation and checking files have not been tampered with,Checksum,,2025-06-20,,
floorspace,1,,,number,Total floorspace for a use in square metres,Floorspace,,2025-06-26,,
reason-not-informed,1,,,string,Reason why a person was not informed of the application,Reason not informed,,2025-01-17,,
pre-development-biodiversity-value,1,,,number,Calculated biodiversity value in Habitat Biodiversity Units,Pre development biodiversity value,,2025-06-16,,
person,1,,person,object,Detail to help identify a person,Person,,2025-06-02,,
permission-period-years,1,,,number,Period of permission sought in years,Permission period years,,2025-07-02,,
net-change,1,,,number,Calculated net change in units,Net change,,2025-07-17,,
uses,n,,use,object,List of applicable uses for a site or development,Uses,,2025-06-26,,
planning-officer-recommendation,1,,,string,"Recommendation made by the planning officer prior to the decision, such as approve, refuse, defer, or approve with conditions",Planning officer recommendation,This should probably be of datatype enum,2026-01-06,,
listed-building-grade,1,,,enum,"The grade of the listed building, selected from the listed-building-grade codelist or ""don't know""",Listed building grade,,2025-01-05,,
extension-depth,1,,,number,"How far the extension extends beyond the rear wall, measured externally in metres",Extension depth,,2025-07-14,,
amount-paid,1,,,number,The amount paid towards the application fee,Amount paid,,2025-06-20,,
grounds-for-application,1,,,string,"Reason(s) why Certificate of Lawfulness of Proposed Works should be granted,
including explanation of why listed building consent is not required
",Grounds for application,,2025-07-16,,
contact-priority,1,,,enum,The priority of a number,Contact priority,,2025-05-30,,
pre-development-date,1,,,datetime,"Date of pre-development biodiversity value calculation, must align with application or justified earlier date",Pre development date,,2025-06-16,,
description-list,1,,,string,Description or list of materials/details that are being submitted for approval,Description list,,2025-07-08,,
is-floorspace-lost-known,1,,,boolean,Whether the amount of floorspace to be lost is known,Is floorspace lost known,,2025-08-28,,
designations,n,,,enum,List of designated areas that apply to the site,Designations,,2025-01-02,,
height,1,,,number,"Height, in metres, of dimensions of advertisement",Height,in metres,2025-07-17,,
applicant-owns-land,1,,,boolean,True or False indicating whether the applicant owns the land where the advertisement will be displayed,Applicant owns land,,2025-07-08,,
flood-risk-area,1,,,boolean,Is the site within an area at risk of flooding?,Flood risk area,,2025-07-17,,
unknown-proposed,1,,,Boolean,If proposed parking spaces is unknown,Unknown proposed,,2025-07-08,,
advice-from-authority,1,,,string,Any advice provided on-site by a Local Planning Authority (LPA) officer,Advice from authority,,2025-07-01,,
will-consolidate-permissions,1,,,boolean,Is the applicant looking to consolidate permissions?,Will consolidate permissions,,2025-09-09,,
has-related-applications,1,,,boolean,"Are there any related applications, previous proposals or demolitions for the site",Has related applications,,2025-07-08,,
