reference,cardinality,codelist,component,datatype,description,name,notes,entry-date,start-date,end-date
permission-process-event,1,,,enum,"Type of event in the processing of a planning application (e.g. submitted, validated, consultation start).",Permission process event,,2026-01-29,,
agent,1,,agent,object,Details of the agent,agent,,2025-06-02,,
existing-employees,1,,employees,object,Counts of existing employees,Existing employees,,2025-07-08,,
planning-condition,1,,,string,Reference of the planning condition this record links to,Planning condition,,2026-01-08,,
width,1,,,number,Width of dimensions of advertisement,Width,in metres,2025-07-17,,
has-existing-use-changed,1,,,boolean,Indicate whether there has been any change in the existing use since it commenced,Existing use change,,2025-07-15,,
application-types,n,,,enum,A list of planning application types that define the nature of the planning application,Application types,,2025-06-20,,
depth,1,,,number,"Depth, in metres, of dimensions of advertisement",Depth,in metres,2025-07-17,,
advertisement-proposal-type,n,,advertisement-proposal-type,object,Expected to provide counts for each advertisement type,Advertisement proposal type,,2025-07-08,,
hazardous-sub-consent-req,1,,,boolean,Does the proposal involve the use or storage of any substances requiring hazardous substances consent,Hazardous substance consent required,,2025-07-09,,
listed-building-volume,1,,,number,Volume of listed building in cubic metres,Listed building volume,,2025-06-30,,
email,1,,,string,The email address that can be used for electronic correspondence with the individual,Email,,2025-06-02,,
contamination-assessment,1,,,string,Reference to contamination assessment document,Contamination assessment,,2025-08-18,,
original-application-type,1,,,string,Type of original planning application,Original application type,,2025-06-26,,
geological-features-impact,1,,,enum,Where is there a likelihood of features of geological conservation importance being affected?,Geological features impact,,2025-07-08,,
unit,1,,,string,Unit of measurement for a value,Unit,,2025-06-26,,
building-elements,n,,building-element,object,"Details of materials for a specific building element such as walls, roof, windows or doors",Building elements,,2025-06-13,,
protected-species-impact,1,,,enum,Where is there a likelihood of protected and priority species being affected?,Protected species impact,,2025-07-08,,
protected-view-impact,1,,,string,Details of the impact on any protected view where relevant,Protected view impact,,2025-07-14,,
surface-site-area-hectares,1,,,number,Surface site area in hectares,Surface site area hectares,could this be calculated from the site boundary?,2025-07-02,,
materials-similar-exterior,1,,,boolean,Will exterior materials be similar to those of the existing dwelling,Materials similar exterior,,2025-07-18,,
net-dwellings-min,1,,,number,"The minimum number of net additional dwellings proposed as part of the development, accounting for any existing dwellings lost and new dwellings created",Net dwellings minimum,,2025-06-26,,
non-residential-measurement-type,1,,,enum,The type of value being provided for non-residential use - either floorspace or site-area,Non-residential measurement type,,2025-06-26,,
equipment-plan,1,,,string,Details of equipment to be used as part of the application including the maximum height and type of drilling rig to be used,Equipment plan,,2025-07-08,,
close-time,1,,,string,Closing time,Close time,Format: HH:MM,2025-07-16,,
event-date,1,,,date,Date the event occurred,Event date,,2026-01-29,,
foul-sewage-disposal-types,n,,,enum,List of ways foul sewage will be disposed of,Foul sewage disposal types,,2025-07-09,,
illuminated,1,,,boolean,Will the sign(s) be illuminated?,Illuminated,,2025-07-17,,
tpo-reference,n,,,string,Reference for a Tree Preservation Order covering affected trees,TPO reference,,2025-06-30,,
development-completed-date,1,,,datetime,Date when development was completed,Development completed date,,2025-06-26,,
proposal-started,1,,,boolean,Has any work on the proposal already been started,Proposal started,,2025-06-12,,
site-owner,1,,site-owner,object,Details of the owner of the development site,Site owner,,2025-07-09,,
reference,1,,,string,A unique reference for the data item,Reference,,2025-06-02,,
total-fte,1,,,number,Total full-time equivalent (FTE),Total FTE,,2025-07-08,,
is-suspected-contaminated-land,1,,,boolean,Is the site suspected of contamination?,Is suspected contaminated land,,2025-08-18,,
new-right-of-way,1,,,enum,Will new public rights of way be provided within or adjacent to the site,New right of way,,2025-06-13,,
replanting-description,1,,,string,Details of replanting arrangements if applicable,Replanting description,,2025-06-30,,
exact-value,1,,,number,"Exact figure of non-residential use, measured in square metres for floorspace or hectares for site area",Exact value,,2025-06-26,,
address-text,1,,,string,Flexible field for capturing addresses,Address Text,,2025-06-02,,
condition-number,1,,,string,Number of any condition being breached,Condition number,,2025-07-10,,
lbc-owners,n,,notified-person,object,List of known owners,Owners of listed building,,2025-07-15,,
time-ranges,n,,time-range,object,Opening and closing times for the day,Time ranges,"Can have multiple ranges (e.g., morning and evening opening)",2025-07-16,,
extension-on-attached-dwelling,1,,,boolean,Will the extension result in the highest part exceeding 3.5 metres above the attached roof,Extension on attached dwelling,,2025-07-18,,
new-drawing-reference,1,,,string,Reference for the new drawing that replaces the old drawing,New drawing reference,,2025-06-26,,
future-new-right-of-way,1,,,enum,Will new public rights of way be provided after extraction?,Future new right of way,,2025-06-13,,
floorspace-details,n,,floorspace-details,object,List of non-residential floorspace changes by use class,Floorspace details,,2025-07-17,,
is-single-storey-extension,1,,,boolean,Will the extension be a single storey,Single storey extension,,2025-07-10,,
construction-demolition,1,,,number,Maximum throughput for construction and demolition waste (annual throughput in tonnes/litres),Construction demolition,,2025-07-09,,
window-on-side-elevation,1,,,boolean,Will the development include a side elevation window or roof slope window,Window on side elevation,,2025-07-18,,
total-existing-units,1,,,number,The total number of existing units,Total existing units,,2025-07-17,,
net-additional-floorspace,1,,,number,"Net additional gross internal floorspace, in sqm",Net additional floorspace,Calculated as total-gross-proposed - existing-gross-floorspace. This should be calculated automatically,2025-07-17,,
land-part,1,,,string,Which part of the land the use relates to,Land part,,2025-07-09,,
floorspace-lost,1,,,number,"Gross floorspace to be lost by change of use, in sqm",Floorspace lost,,2025-07-17,,
waste-management,n,,waste-management,object,List of waste management facilities involved in the proposal,Waste management,,2025-07-09,,
fullname,1,,,string,The complete name of a person,Full name,,2025-06-12,,
is-partial-demolition,1,,,boolean,True or False indicating whether the proposal involves partial demolition of a listed building,Demolition part,,2025-06-30,,
longitude,1,,,number,Longitude coordinate in WGS84 (EPSG:4326),Longitude,,2025-06-13,,
materials-not-applicable,1,,,boolean,Indicates this building element is not relevant to the application,Materials not applicable,,2025-06-13,,
permission-not-obtained-details,1,,,string,Details explaining why permission from the land owner has not been obtained for the advertisement display,Permission not obtained details,,2025-07-08,,
max-projection,1,,,number,"Maximum projection, in metres, of the advertisement from the face of the building",Max projection,,2025-07-17,,
commercial-industrial,1,,,number,Maximum throughput for commercial and industrial waste (annual throughput in tonnes/litres),Commercial industrial,,2025-07-09,,
oilgas-permission-type,1,,,enum,An oil and gas related permission type,Oil and gas permission type,,2025-12-05,,
no-of-bedrooms,1,,,number,The number of bedrooms in unit,Number of bedrooms,,2025-07-17,,
application,1,,application,object,The details of the application payload to be submitted,Application,,2025-06-20,,
surface-water-disposal,n,,,enum,Method for disposing of surface water,Surface water disposal,,2025-07-17,,
loss-date,1,,,datetime,Date the activity causing habitat loss or degradation occurred,Loss date,,2025-06-16,,
url,1,,,string,A URL pointing to the stored file for previously uploaded or hosted files,URL,,2025-06-20,,
declaration-confirmed,1,,,boolean,Confirms the applicant or agent has reviewed and validated the information provided in the application,Declaration confirmed,,2025-06-12,,
vehicle-type-other,1,,,string,Vehicle type when parking space type is 'other',Vehicle type other,,2025-07-08,,
dwellinghouse-height,1,,,number,Height from ground to highest point of roof in metres,Dwellinghouse height,,2025-07-14,,
proposed-works-details,1,,,string,Description of the proposed works including detailed explanation of the work,Proposed works details,,2025-07-14,,
reason,1,,,string,A textual reason,Reason,,2025-06-26,,
min,1,,,number,"Lower bound of non-residential use, measured in square metres for floorspace or hectares for site area",Minimum value,,2025-06-26,,
site-hectares-provided-by,1,,,enum,Who provided the site hectares value (applicant or system),Site hectares provided by,,2025-07-02,,
agent-reference,1,,,string,A reference to an agent object,Agent reference,,2025-05-30,,
newspaper-notices,n,,newspaper-notice,object,Details of notices published in papers,Newspaper notices,,2025-06-13,,
base64-content,1,,,string,Base64-encoded content of the file for inline file uploads,Base64,,2025-06-20,,
northing,1,,,number,Northing coordinate in British National Grid (EPSG:27700),Northing,,2025-06-13,,
last-use-details,1,,,string,Description of the last use of the site,Last use details,,2025-08-18,,
non-residential-change,1,,,boolean,"Does the proposal involve the loss, gain, or change of non-residential floorspace?",Non residential change,,2025-07-17,,
existing-use-change-details,1,,,string,Details of any changes to the existing use including nature of changes and dates,Existing use change details,,2025-07-15,,
is-site-different,1,,,boolean,Whether the site where trees are located is different from the applicant's address,Is site different,,2025-07-01,,
decision-notice,1,,,string,Reference to a decision notice record,Decision notice,,2026-01-09,,
proposed-use-contamination-risk,1,,,boolean,Is the proposed use vulnerable to the presence of contamination?,Proposed use contamination risk,,2025-08-18,,
has-falling-trees-risk,1,,,boolean,Whether there are falling trees on-premises or adjacent premises that are a risk to the development,Falling trees risk,,2025-06-12,,
proposal-completed-date,1,,,datetime,"The date when work on the proposal was completed, in YYYY-MM-DD format",Proposal completion date,,2025-06-12,,
tree-removal-plan,1,,supporting-document,object,Details of document showing location of trees and hedges to be removed or pruned,Tree removal plan,,2025-06-12,,
old-document,1,,,string,Reference of the old document being replaced in the amendment,Old document,,2025-07-15,,
advertisement-proposal-description,1,,,string,Description of the advertisement proposal,Advertisement proposal description,,2025-07-08,,
irreplaceable-habitats-details,1,,,string,Description and references for any irreplaceable habitats identified on the site,Irreplaceable habitats details,,2025-06-16,,
replacement-drawings,n,,replacement-drawing,object,List of approved drawings being replaced by new drawings,Replacement drawings,,2025-06-26,,
room-details-outline,n,,room-details-outline,object,"List of room changes for hotels, residential institutions and hostels",Room details,"Required if change to hotels, residential institutions and hostel floorspace (C1, C2, C2A use classes). Only for outline applications.",2025-08-28,,
height-from-ground,1,,,number,"Height, in metres, from ground to the base of the advertisement",Height from ground,in metres,2025-07-17,,
existing-unit-breakdown,n,,unit-quantities,object,Number of existing units by bedroom count,Existing unit breakdown,,2025-07-17,,
cert-of-immunity-sought,1,,,enum,Has a certificate of immunity been sought,Certificate of immunity sought,,2025-07-01,,
nature-of-interest,1,,,string,Description of the nature of a person's interest in the property,Nature of interest,,2025-01-17,,
illumination-method,1,,,enum,Method of illumination for the advertisement,Illumination method,,2025-07-17,,
uploaded-date,1,,,datetime,The date the document was uploaded to the application,Uploaded date,,2025-10-08,,
planning-authority,1,,,enum,"A reference of the planning authority the application has been submitted to, e.g. local-authority:CMD for London borough of Camden",Planning authority,"Currently built by combining local-authority, development-corporation and national-park-authority datasets from planning.data.gov.uk",2025-06-20,,
habitat-loss-details,1,,habitat-loss-details,object,Details of habitat loss or degradation events,Habitat loss details,,2025-06-16,,
contact-type,1,,,enum,Indicates who the authority should contact to arrange a site visit,Site visit contact type,,2025-06-12,,
submission-date,1,,,datetime,Date the application is submitted in YYYY-MM-DD format,Submission date,,2025-06-20,,
