reference,allow-additional-properties,description,extends,field-count,module-count,name,entry-date,start-date,end-date
advertising,True,An application for all types of advertisements and signs,,1,16,Advertising,2025-07-22,,
approval-condition,True,An application to have conditions approved which have been applied at the time of granting a planning permission to limit and control the way in which the planning permission has been implemented,,1,13,Approval of details reserved by condition,2025-01-07,,
consent-under-tpo,True,An application that will affect a protected tree including those covered by a Tree Preservation Order (TPO) or those which grow in a conservation area,,1,11,Consent under TPO,2025-01-07,,
demolition-con-area,True,An application for planning permission involving the demolition of any unlisted building or structure in a conservation area if permission is required,,1,16,Planning permission for relevant demolition in a conservation area,2025-07-22,,
extraction-oil-gas,True,"Development relating to the onshore extraction of oil and gas
(including exploratory, appraisal and production phases) and the associated
plans, documents and validation information required to support an
application.
",,1,29,Development relating to the onshore extraction of oil and gas,2025-09-12,,
full,True,This application is needed when making detailed proposals for developments which are not covered by a householder application or permitted development rights,,1,30,Full planning permission,2025-01-07,,
hedgerow-removal,True,"An application for anyone proposing to remove a hedgerow, or part of a hedgerow",,1,10,Hedgerow removal notice,2025-01-07,,
hh,True,"A simplified process for applications to alter or enlarge a single house (but not a flat), including works within the boundary/garden",,1,17,Householder planning application,2025-01-07,,
lbc,True,An application for works for the demolition of a listed building or for its alteration or extension in any manner which would affect its character as a building of special architectural or historic interest,,1,19,Listed building consent,2025-01-07,,
ldc-existing-use,True,Existing use of the site,ldc,0,16,LDC Existing Use,2025-08-12,,
ldc-proposed-work-lb,True,An application for a certificate confirming whether proposed works to a listed building would be lawful because they do not require listed building consent,,1,14,LDC Proposed Work to a Listed Building,2025-08-12,,
ldc-prospective-use,True,Prospective use of the site,ldc,0,14,LDC Proposed Use,2025-08-12,,
non-material-amendment,True,An application for any minor changes to proposals that have already been approved,,1,13,Non-material amendment (S96a),2025-01-07,,
notice-trees-in-con-area,True,"Notification, 6 weeks prior to works being carried out, of proposed works to a tree in a conservation area that is not subject to a Tree Preservation order",,1,11,Notification of proposed works to trees in a conservation area,2025-02-12,,
outline-all,True,Outline planning permission with all matters reserved,outline,0,21,Outline Planning Permission with All Matters Reserved,2025-02-07,,
outline-some,True,Outline planning permission with some matters reserved,outline,0,30,Outline Planning Permission with Some Matters Reserved,2025-02-07,,
pa-build-agri-forest,True,Prior apporval for building development related to agricultural and forestry buildings,prior-approval,0,10,Prior approval: Agricultural or forestry building development,2026-05-11,,
pa-extension,True,Planning application for extension,prior-approval,0,11,Larger Home Extension,2025-08-12,,
pa-storey,True,Enlargement of a dwellinghouse by construction of additional storeys,prior-approval,0,12,Additional storeys,2025-08-12,,
pip,True,An alternative way of getting planning permission for housing-led development which separates the consideration of matters of principle from the technical detail of the development,,1,10,Permission in principle,2025-06-26,,
reserved-matters,True,"This application is only required when the applicant has already been granted outline planning permission. Reserved matters can include appearance, means of access, landscaping, layout and scale",,1,12,Reserved matters,2025-01-07,,
s73,True,Applications for a removal or variation of a condition after planning permission has been granted,,1,13,Removal or variation of a condition following grant of planning permission,2025-01-07,,
technical-details-consent,True,"Technical Details Consent (TDC) is the second stage of the 'Permission in Principle' (PiP) process in planning, primarily for housing-led development. It follows the initial 'Permission in Principle' stage, which establishes whether a site is suitable in principle for development. TDC assesses the detailed design, layout, and other technical aspects of the proposed development.
",,1,30,Technical details consent,2025-11-12,,
