reference,description,field-count,name,entry-date,start-date,end-date
tpo,Details of any Tree Preservation Orders (TPO) affecting the development site,2,Tree preservation order details,2025-06-30,,
discharge-con,How any conditions imposed as part of being given planning permission will be met,1,Discharge condition,2025-07-08,,
proposal-details,"What development, works or change of use is proposed",9,Description of the proposal,2025-06-12,,
info-support-ldc,Supporting information required to make a Lawful Development Certificate application,5,Information to support LDC,2025-07-15,,
waste-storage-collection,"Any waste storage or recycling arrangements are in place, such as waste storage areas",6,Waste storage and collection,2025-07-08,,
adj-premises,Details of properties next to the development site,1,Adjacent premises,2025-07-07,,
desc-proposed-works,Details of development plans such as extensions measurements or work specifications,4,Description of proposed works,2025-07-14,,
desc-existing-use,"How the development site is used, including use class information",1,Description of existing use,2025-07-09,,
grounds-ldc,Evidence and explanations relating to a Lawful Development Certificate (LDC) application,5,Grounds for lawful development certificate,2025-07-10,,
employment,How the proposed development will impact existing and proposed employee numbers,2,Employment,2025-07-08,,
desc-work-impacts-risks,"How the proposed development may affect nearby amenities, air traffic, defence assets or protected views.",6,Description of work impacts and risks,2025-07-14,,
processes-machinery-waste,How waste will be managed on the site,4,Processes machinery waste,2025-07-09,,
eligibility-current-building,How the current building meets eligibity criteria,4,Eligibility current building,2025-07-15,,
eligibility-proposal,How the proposed development meets eligibility criteria,13,Eligibility proposal,2025-07-18,,
demolition-reason,Why demolition is necessary at the development site,1,Demolition reason,2025-06-30,,
haz-substances,Details of hazardous substances requiring consent used as part of the development,4,Hazardous substances,2025-07-09,,
hedgerow-removal,Details of any hedgerows being removed as part of the development,6,Hedgerow removal notice,2025-07-17,,
grounds-existing-use,Supporting inforation for a Lawful Development Certificate application relating to how the site has most recently been used.,4,Grounds for application (information about the existing use(s)),2025-06-26,,
supporting-info,Any additional information which will help with the planning application,1,Supporting information,2025-06-26,,
trees-hedges,Details of trees and/or hedges that will be affected by the proposed development,6,Trees and hedges information,2025-06-12,,
proposed-advert-details,Details of the proposed advertisements such as their size and how they are made,1,Proposed advert details,2025-07-17,,
ldc-interest,Who had a say in whether the proposal should go ahead,3,LDC Interest,2025-01-17,,
grounds-proposed-use,What the new site will be used for,5,Grounds for proposed use,2025-07-17,,
advertisement-types,What type of advertisements are proposed and how many there will be.,2,Advertisement types,2025-07-08,,
eligibility,Whether certain eligibility criteria has been met and the right people notified,3,Eligibility,2025-07-18,,
lb-alter,Details of any changes being made to a listed building as part of development works,3,Listed building alterations,2025-07-08,,
proposal-details-inc-non-residential,Details of the residential and non-residential parts of the proposed development.,4,Description of the proposed development including any non-residential development,2025-06-26,,
dev-type,Supporting information for developments used for oil and gas exploration or mining ,9,Development type,2025-07-02,,
ownership-certs,"Who will be affected by the proposal and whether they have been notified, such as agricultural tenants",10,Ownership certificates and agricultural land declaration,2025-06-13,,
foul-sewage,How waste water will leave the property as part of the proposed development,6,Foul sewage disposal,2025-07-09,,
checklist,"Checking whether all the requirements of the form have been met, such as proof of payment or supporting documentation.",1,Checklist,2025-06-12,,
site-area,How big the site is including relevant measurements,2,Site area,2025-07-02,,
related-applications,Details of any other development proposals made for the site,2,Related applications,2025-07-08,,
desc-proposed-works-lb-ldc,Details of development plans for the work to the listed building an applicant is seeking a lawful development certificate for,1,Description of proposed works for listed building lawful development certificate,2025-11-24,,
trees-additional,Further details of any issues relating to trees on the site,5,Trees additional information,2025-07-01,,
grounds-for-application,Why a Certificate of Lawfulness of Propose Works is being requested.,2,Grounds for application,2025-07-16,,
immunity-from-listing,Whether the applicant has obtained a Certificate of Immunity (COI) meaning the building in question cannot be listed,2,Immunity from listing,2025-07-01,,
desc-your-proposal,Written description of the proposed development including any additional relevant details.,8,Description of your proposal,2025-06-26,,
trees-location,Where trees affected by the proposed development are located.,2,Trees location,2025-07-01,,
agent-details,Name and contact information if an agent is being used.,1,Agent details,2025-06-02,,
applicant-details,Name and contact information for the parties making the application.,1,Applicant details,2025-06-16,,
advert-location,Where the advertisement being applied to be built will be located,5,Advertisement location,2025-07-09,,
equip-method,How oil and gas will be extracted as part of the proposed development.,1,Equipment and method,2025-07-08,,
flood-risk-assessment,Results of any flood risk assessments made for the development site,6,Flood risk assessment,2025-07-17,,
nm-amendment-details,Details of changes being requested to plans after permission has already been granted.,4,Non-material amendment details,2025-07-15,,
community-consultation,What community consultation activities have taken place as part of the application,2,Community consultation,2025-07-08,,
interest-in-land,Whether the applicant owns or has permission to use the land where the proposed advertisement will be placed,3,Interest in land,2025-07-08,,
