reference,description,field-count,name,entry-date,start-date,end-date
plans-drawings-supporting-materials,Additional materials and specifications that form part of the planning application,2,"Plans, drawings and supporting materials",2025-07-14,,
trees-ownership,Who owns any trees affected by the proposed development.,2,Trees ownership,2025-06-30,,
site-details,Where the proposed development will be built.,1,Site details,2025-06-13,,
existing-use,How the site is currently being used.,8,Existing use,2025-08-18,,
proposal-details-ldc,Details of why a Lawful Development Certificate is required.,7,Proposal details LDC,2025-07-17,,
eligibility-related-works,Whether any related works such as scaffolding required will affect the eligibility of the planning proposal,1,Eligibility related works,2025-07-18,,
res-units,Details of the residential units that make up both the current and proposed development.,5,Residential units,2025-07-17,,
demolition,Details of any demolition that needs to take place as part of the development proposal.,9,Demolition,2025-06-30,,
site-info,Any additional relevant information about the development site.,4,Site information,2025-06-26,,
processes-machinery-waste-outline,"If making an 'outline' application, how waste will be managed on the development site",4,Processes machinery waste,2025-07-14,,
use-works-activity,"Why a Lawful Development Certificate is required regarding how the development site is being used, or specific works taking place on the site.",3,Use works activity,2025-07-17,,
pre-app-advice,Details of pre-application advice previously received from the planning authority,5,Pre-application advice,2025-06-12,,
tree-work-details,Details of trees affected by the proposed development and what work is being done to them.,2,Identification of tree(s) and description of works,2025-06-30,,
eligibility-extension,How a proposal to build an extension meets relevant criteria.,7,Eligibility extension,2025-07-10,,
agent-contact,Name and contact information if an agent is being used.,2,Agent contact details,2025-05-30,,
vol-agreement,Details of any voluntary agreements made as part of an oil and gas extraction application.,2,Voluntary agreement,2025-06-26,,
designated-areas,"Details of any 'designated area' the develpoment site is on, such as a Conservation Area or National Park.",1,Designated areas,2025-01-02,,
applicant-contact,Telephone number and email address of the applicant.,2,Applicant contact details,2025-06-16,,
non-res-floorspace,Details of changes to non-residential floorspace in the proposed development.,6,Non residential floorspace,2025-07-17,,
access-rights-of-way,Details of any changes the proposed development would make to existing access arrangements or public rights of way,8,Access and rights of way,2025-06-13,,
hrs-operation,Proposed operating hours if the proposed development is intended for non-residential use.,2,Hours of operation,2025-07-16,,
bio-geo-arch-con,"Details of potential impacts to the biodiversity of the site, or any noteable archaeological or geological features.",4,"Biodiversity, geological and archaeological conservation",2025-07-08,,
materials,What materials are being used for the proposed development,3,Materials,2025-06-13,,
site-visit,Information to help the planning authority arrange a site visit,4,Site Visit Details,2025-06-12,,
advert-period,How long the proposed advertisement will be shown.,2,Advert period,2025-07-07,,
conflict-of-interest,Details of any conflict of interest that may exist between the applicant and planning authority.,3,Conflict of interest,2025-06-16,,
oilgas-permission-type,"Module for details about types of onshore oil and gas extraction permissions already received and applying for
",6,Oil and gas permission types,2025-09-09,,
bng,How any natural habitats on the development site will be improved by the proposed works.,4,Biodiversity net gain,2025-06-16,,
parking,Details of any changes the proposed development would make to parking facilities.,2,Parking arrangements,2025-06-12,,
vehicle-parking,Details of current parking facilities at the site and any changes that would be made by the proposed development.,1,Vehicle parking,2025-07-08,,
site-ownership,"For oil and gas extraction developments, who owns or has an interest in the site.",3,Site ownership,2025-07-09,,
storage-facilities,"For oil and gas extraction developments, how chemicals will be stored",1,Storage facilities,2025-07-08,,
trade-effluent,"Details of any liquid waste produced by industial processes on the proposed site, and how it will be diposed of.",2,Trade effluent,2025-06-26,,
interest-details,Names and contact details for all parties with an interest in the proposed develpoment.,3,Interest details,2025-07-18,,
declaration,Signed and dated verification of the application's accuracy.,3,Declaration,2025-06-12,,
lb-grade,The grade of any listed building affected by the proposed development.,3,Listed building grade,2025-01-05,,
part-discharge,Details of how the applicant is meeting a specific part of a set of conditions made by the planning authority.,2,Part discharge,2025-07-07,,
con-remove-vary,Why the applicant is asking for planning conditions to be removed or changed.,2,Condition removal or variation,2025-07-08,,
