stats-app-name,2024-total,applications-types,application-name,form-name,notes
Removal/Variation of a condition,19399,s73,Removal or variation of a condition following grant of planning permission,Application for removal or variation of a condition following grant of planning permission,
Approval of details reserved by a condition (discharge),77281,approval-condition,Approval of details reserved by condition,Application for approval of details reserved by condition,
Tree works: Trees in conservation areas/subject to TPOs,78778,"consent-under-tpo,notice-trees-in-con-area",,,
Non-Material Amendment,20488,non-material-amendment,Non-material amendment (S96a),Application for a non-material amendment following a grant of planning permission,
Prior Approval: Larger home extension,12591,pa-extension,Larger Home Extension,Application to determine if prior approval is required for a proposed: Larger Home Extension,
Prior Approval: Change of use - retail to restaurant/café,0,,,,
Prior Approval: Change of use - takeaway/sui generis/mixed use to dwellinghouses,124,cho-sui-to-dwh,Change of use from sui generis uses to dwellinghouses,Prior Approval: Change of use - takeaway/sui generis/mixed use to dwellinghouses,
Prior Approval: Change of use - retail to assembly/leisure,0,,,,
Prior Approval: Change of use - agriculture to dwellinghouses,2246,cho-agri-to-dwh,Change of use from agricultural buildings to dwellinghouses,Prior Approval: Change of use - agricultural (or former agricultural) buildings to dwellinghouses,
Prior Approval: Change of use - agriculture to flexible commercial use,503,cho-agri-to-flexcom,Change of use from agriculture to flexible commercial use,Prior Approval: Change of use - agriculture to flexible commercial use,
Prior Approval: Change of use - agriculture to state-funded school,0,cho-agri-to-school,Change of use from agriculture to state-funded school,Prior Approval: Change of use - agriculture to state-funded school,
Prior Approval: Change of use - commercial/business/service/hotels/etc to state-funded school,88,cho-comm-to-school,Change of use from commercial buildings to state-funded school,Prior Approval: Change of use - commercial/business/service/hotels/etc to state-funded school,
Prior Approval: Change of use - offices to dwellinghouses,0,,,,
Prior Approval: Change of use - light industrial to dwellinghouses,0,,,,
Prior Approval: Change of use - amusements/casinos to dwellinghouses,0,cho-amusements-to-dwh,Change of use from amusements or casinos to dwellinghouses,Prior Approval: Change of use - amusements/casinos to dwellinghouses,
Prior Approval: Collection facility for a shop,135,pa-col-fac-shop,Collection facility for a shop,Prior Approval: Collection facility for a shop,
Prior Approval: Roof mounted solar PV on non-domestic building,1171,pa-roof-solar-nondom,Roof-mounted solar PV on non-domestic building,Prior Approval: Roof mounted solar PV on non-domestic building,
Prior Approval: Temporary school on previously vacant commercial land,4,pa-tmp-school-vacant-comm,Temporary school on vacant commercial land,Prior Approval: Temporary school on previously vacant commercial land,
Prior Approval: Temporary use for commercial film-making,9,pa-tmp-use-comm-film,Temporary use for commercial film-making,Prior Approval: Temporary use for commercial film-making,
Prior Approval: Change of use - retail/takeaway to offices,0,,,,
Prior Approval: New flats on top of detached blocks of flats,124,pa-flats-de-blocks,New flats on detached blocks of flats,Prior Approval: New flats on top of detached blocks of flats,
Prior Approval: New flats on top of detached commercial buildings,67,pa-flats-de-comm,New flats on detached commercial buildings,Prior Approval: New flats on top of detached commercial buildings,
Prior Approval: New flats on top of terraced commercial buildings,58,pa-flats-terr-comm,New flats on terraced commercial buildings,Prior Approval: New flats on top of terraced commercial buildings,
Prior Approval: New flats on top of terraced dwellinghouses,5,pa-flats-terr-dwh,New flats on terraced dwellinghouses,Prior Approval: New flats on top of terraced dwellinghouses,
Prior Approval: New flats on top of detached dwellinghouses,10,pa-flats-de-dwh,New flats on detached dwellinghouses,Prior Approval: New flats on top of detached dwellinghouses,
Prior Approval: Additional storeys on a dwellinghouse,462,pa-storey,Additional storeys,Application for prior approval of a proposed: Enlargement of a dwellinghouse by construction of additional storeys,
Prior Approval: Demolish and replace with building used as dwellinghouses,21,pa-demo-replace-dwh,Demolish and replace with dwellinghouses,Prior Approval: Demolish and replace with building used as dwellinghouses,
"Prior Approval: Erection, extension, or alteration of a university building",25,pa-uni-building,University building works,"Prior Approval: Erection, extension, or alteration of a university building",
Prior Approval: Change of use – commercial/business/service to dwellinghouses,3285,cho-commercial-to-dwh,Change of use from commercial buildings to dwellinghouses,Prior Approval: Change of use - commercial/business/service to dwellinghouses,
Prior Approval: Change of use - commercial/business/service/etc to mixed use incl up to two flats,419,cho-commercial-to-mixed,Change of use from commercial buildings to mixed use,Prior Approval: Change of use - commercial/business/service/etc to mixed use incl up to two flats,
"Prior Approval: Movable structure for historic visitor attraction, or listed pub/restaurant/etc",15,pa-movable-structure,Movable structure for historic attraction or listed hospitality use,"Prior Approval: Movable structure for historic visitor attraction, or listed pub/restaurant/etc",
Prior Approval: Single living accommodation/Non-residential buildings on a closed defence site,6,pa-accom-defence,Accommodation on closed defence site,Prior Approval: Single living accommodation/Non-residential buildings on a closed defence site,
Prior Approval: Installation or alteration of solar equipment on domestic premises,13,pa-solar-eq-dom,Solar equipment on domestic premises,Prior Approval: Installation or alteration of solar equipment on domestic premises,
Prior Approval: Installation or alteration etc of stand-alone solar equipment on domestic premises,1,pa-sa-solar-dom,Stand-alone solar equipment on domestic premises,Prior Approval: Installation or alteration etc of stand-alone solar equipment on domestic premises,
Prior Approval: Installation or alteration etc of stand-alone solar equipment on non-domestic premises,2,pa-sa-solar-nondom,Stand-alone solar equipment on non-domestic premises,Prior Approval: Installation or alteration etc of stand-alone solar equipment on non-domestic premises,
"Prior Approval: Installation etc of a solar canopy on non-domestic, off-street parking",17,pa-solar-nondom-park,Solar canopy on non-domestic parking,"Prior Approval: Installation etc of a solar canopy on non-domestic, off-street parking",
,,outline,Outline planning,,Used for module inheritance
,,ldc,Lawful development certificate,,Used for module inheritance
,,prior-approval,Prior approval,,Used for module inheritance
,,pip,Permission in principle,Application for permission in principle,Not available on Planning Portal
,,extraction-oil-gas,Development relating to the onshore extraction of oil and gas,Planning application for development relating to the onshore extraction of oil and gas,
,,waste-dev,Waste development,,
,,land-drainage-consent,Land Drainage Consent,,
,,footpath-diversion,Footpath diversion,,
,,cert-alt-appropriate-dev,Certificate of alternative appropriate development,,
,,overhead-lines,Circular 14/90 Overhead lines,,
,,nsips,Nationally Significant Infrastructure Projects (NSIPs),,
,,mod-construction-hours,Modification of conditions relating to construction working hours,,
,,extend-duration-permission,Additional environmental approval to extend the duration of a planning permission,,
,,mineral-extraction,Mineral extraction or associated development,,
,,mod-discharge-s106,Modification or discharge of a Section 106 planning obligation,,
,,twao,Transport and works act order,,
,,change-of-use,Change of use planning application,,
,,reg-3,Regulation 3 planning application,,
,,reg-4,Regulation 4 planning application,,
,,mineral-app,Mineral planning applications,,
,,technical-details-consent,Technical Details Consent,,
,,romp,Review of mineral permission (ROMP),,
,,haz-substance-consent,Hazardous Substances Consent,,
,,psi-app,Public Service Infrastructure applications,,
,,ldc-proposed-work-lb,LDC Proposed Work to a Listed Building,Application for a certificate of lawfulness of proposed works to a listed building,GOVUK form but not on Planning Portal
