stats-app-name,2024-total,applications-types,application-name,form-name,notes
Householder planning permission,136464,hh,Householder planning application,Householder application for planning permission for works or extension to a dwelling,
Householder planning & demolition in a conservation area,3551,"hh,demolition-con-area",,Householder application for planning permission for works or extension to a dwelling and for relevant demolition of an unlisted building in a conservation area,
Householder planning & listed building consent,6066,"hh,lbc",,Householder Application for Planning Permission for works or extension to a dwelling and listed building consent,
Full planning permission,90673,full,Full planning permission,Application for planning permission,
Outline planning permission: Some matters reserved,2124,outline-some,Outline Planning Permission with Some Matters Reserved,Application for outline planning permission with some matters reserved,
Outline planning permission: All matters reserved,1068,outline-all,Outline Planning Permission with All Matters Reserved,Application for outline planning permission with all matters reserved,
Full planning & demolition in a conservation area,1847,"full,demolition-con-area",,Application for planning permission and for relevant demolition of an unlisted building in a conservation area,
Full planning & listed building consent,5839,"full,lbc",,"Application for planning permission and listed building consent for alterations, extension or demolition of a listed building",
Full planning & display of advertisements,2453,"full,advertising",,Application for planning permission and consent to display advertisement(s),
Demolition in a conservation area,212,demolition-con-area,Planning permission for relevant demolition in a conservation area,Application for planning permission for relevant demolition in a conservation area,
Listed building consent,16206,lbc,Listed building consent,"Application for listed building consent for alterations, extension or demolition of a listed building",
Consent to display an advertisement,10485,advertising,Advertising,Application for consent to display an advertisement(s),
Lawful development: Existing use,8363,ldc-existing-use,LDC Existing Use,Application for a lawful development certificate for an existing use or operation or activity including those in breach of a planning condition,
Lawful development: Proposed use,34425,ldc-prospective-use,LDC Proposed Use,Application for a lawful development certificate for a proposed use or development,
Prior Approval: Building for agricultural/forestry use,3762,pa-build-agri-forest,Building for agricultural or forestry use,Prior Approval: Building for agricultural/forestry use,
Prior Approval: Private road for agricultural/forestry use,549,pa-road-agri-forest,Private road for agricultural or forestry use,Prior Approval: Private road for agricultural/forestry use,
Prior Approval: Excavation/Deposit waste for agriculture,190,pa-excavate-agri,Excavation or waste deposit for agriculture,Prior Approval: Excavation/Deposit waste for agriculture,
Prior Approval: Tank/Cage/Structure for use in fish farming,0,pa-fish-struct,Tank cage or structure for fish farming,Prior Approval: Tank/Cage/Structure for use in fish farming,
Prior Approval: Development for electronic communications network,1177,pa-ecomms-network,Electronic communications network development,Prior Approval: Development for electronic communications network,
Hedgerow removal notice,274,hedgerow-removal,Hedgerow removal notice,,
Prior Approval: Demolition of building,1015,pa-demo-building,Demolition of building,Prior Approval: Demolition of building,
Approval of reserved matters,1968,reserved-matters,Reserved matters,Application for approval of reserved matters following outline approval,
