reference,housing-type,specification-profile,entry-date,start-date,end-date,notes
mhclg-core-houses,houses,mhclg-core,2026-03-24,,,Used by the MHCLG core profile.
mhclg-core-flats-maisonettes,flats-maisonettes,mhclg-core,2026-03-24,,,Used by the MHCLG core profile.
mhclg-core-sheltered-housing,sheltered-housing,mhclg-core,2026-03-24,,,Used by the MHCLG core profile.
mhclg-core-bedsit-studio,bedsit-studio,mhclg-core,2026-03-24,,,Used by the MHCLG core profile. Also used by the GLA profile.
mhclg-core-cluster-flats,cluster-flats,mhclg-core,2026-03-24,,,Used by the MHCLG core profile. Also used by the GLA profile.
mhclg-core-other,other,mhclg-core,2026-03-24,,,Used by the MHCLG core profile. Also used by the GLA profile.
mhclg-core-live-work-units,live-work-units,mhclg-core,2026-03-24,,,Used by the MHCLG core profile. Also used by the GLA profile.
mhclg-core-unknown,unknown,mhclg-core,2026-03-24,,,Used by the MHCLG core profile.
gla-terraced-home,terraced-home,gla,2026-03-24,,,Used by the GLA profile.
gla-house-or-bungalow,house-or-bungalow,gla,2026-03-24,,,Used by the GLA profile.
gla-semi-detached-home,semi-detached-home,gla,2026-03-24,,,Used by the GLA profile.
gla-flat-apartment-maisonette,flat-apartment-maisonette,gla,2026-03-24,,,Used by the GLA profile.
gla-bedsit-studio,bedsit-studio,gla,2026-03-24,,,Used by the GLA profile. Shared concept with the MHCLG core profile.
gla-cluster-flats,cluster-flats,gla,2026-03-24,,,Used by the GLA profile. Shared concept with the MHCLG core profile.
gla-other,other,gla,2026-03-24,,,Used by the GLA profile. Shared concept with the MHCLG core profile.
gla-live-work-units,live-work-units,gla,2026-03-24,,,Used by the GLA profile. Shared concept with the MHCLG core profile.
gla-co-living-unit,co-living-unit,gla,2026-03-24,,,Used by the GLA profile only.
gla-hmo,hmo,gla,2026-03-24,,,Used by the GLA profile only.
gla-student-accommodation,student-accommodation,gla,2026-03-24,,,Used by the GLA profile only.
gla-communal-space,communal-space,gla,2026-03-24,,,Used by the GLA profile only.
