reference,permission-process-event,specification-profile,entry-date,start-date,end-date,notes
national-public-view-application-submitted,application-submitted,national-public-view,2026-06-10,,,Included in the first national public view.
national-public-view-invalid-from,invalid-from,national-public-view,2026-06-10,,,Included in the first national public view.
national-public-view-valid-from,valid-from,national-public-view,2026-06-10,,,Included in the first national public view.
national-public-view-validation-completed,validation-completed,national-public-view,2026-06-10,,,Included in the first national public view.
national-public-view-application-published,application-published,national-public-view,2026-06-10,,,Included in the first national public view.
national-public-view-publicity-start,publicity-start,national-public-view,2026-06-10,,,Included in the first national public view.
national-public-view-additional-information-requested,additional-information-requested,national-public-view,2026-06-10,,,Included in the first national public view.
national-public-view-additional-information-received,additional-information-received,national-public-view,2026-06-10,,,Included in the first national public view.
national-public-view-consultation-start,consultation-start,national-public-view,2026-06-10,,,Included in the first national public view.
national-public-view-consultation-end,consultation-end,national-public-view,2026-06-10,,,Included in the first national public view.
national-public-view-consultees-contacted,consultees-contacted,national-public-view,2026-06-10,,,Included in the first national public view.
national-public-view-call-in-direction-issued,call-in-direction-issued,national-public-view,2026-06-10,,,Included in the first national public view.
national-public-view-committee-date,committee-date,national-public-view,2026-06-10,,,Included in the first national public view.
national-public-view-resolution-to-grant,resolution-to-grant,national-public-view,2026-06-10,,,Included in the first national public view.
national-public-view-resolution-to-refuse,resolution-to-refuse,national-public-view,2026-06-10,,,Included in the first national public view.
national-public-view-time-extension-agreed,time-extension-agreed,national-public-view,2026-06-10,,,Included in the first national public view.
