reference,parking-space-type,specification-profile,entry-date,start-date,end-date,notes
mhclg-core-car-space,car-space,mhclg-core,2026-05-29,,,Migrated from parking-space-type codelist used-by column.
mhclg-core-light-goods-vehicle-space,light-goods-vehicle-space,mhclg-core,2026-05-29,,,Migrated from parking-space-type codelist used-by column.
mhclg-core-motorcycle-space,motorcycle-space,mhclg-core,2026-05-29,,,Migrated from parking-space-type codelist used-by column.
mhclg-core-disability-space,disability-space,mhclg-core,2026-05-29,,,Migrated from parking-space-type codelist used-by column.
mhclg-core-cycle-space,cycle-space,mhclg-core,2026-05-29,,,Migrated from parking-space-type codelist used-by column.
mhclg-core-other,other,mhclg-core,2026-05-29,,,Migrated from parking-space-type codelist used-by column.
gla-car-space,car-space,gla,2026-05-29,,,Migrated from parking-space-type codelist used-by column.
gla-light-goods-vehicle-space,light-goods-vehicle-space,gla,2026-05-29,,,Migrated from parking-space-type codelist used-by column.
gla-motorcycle-space,motorcycle-space,gla,2026-05-29,,,Migrated from parking-space-type codelist used-by column.
gla-disability-space,disability-space,gla,2026-05-29,,,Migrated from parking-space-type codelist used-by column.
gla-cycle-space,cycle-space,gla,2026-05-29,,,Migrated from parking-space-type codelist used-by column.
gla-blue-badge-space,blue-badge-space,gla,2026-05-29,,,Migrated from parking-space-type codelist used-by column.
gla-bus,bus,gla,2026-05-29,,,Migrated from parking-space-type codelist used-by column.
gla-car-club,car-club,gla,2026-05-29,,,Migrated from parking-space-type codelist used-by column.
gla-resi-off-street,resi-off-street,gla,2026-05-29,,,Migrated from parking-space-type codelist used-by column.
gla-other,other,gla,2026-05-29,,,Migrated from parking-space-type codelist used-by column.
