reference,name,description,reason,organisation
17_05993_OUT-condition-01,Condition 1,"The development to which this permission relates must be begun no later than three years from the date of this decision notice and in the case of Development Phases, no later than 2 years from: i) the final approval of the last Reserved Matters Application pursuant to condition 5 or ii) the final approval of any pre-commencement condition associated with that Development Phase",To comply with the provisions of Section 91(1) (a) of the Town and Country Planning Act 1990 (as amended by Section 51 of the Planning and Compulsory Purchase Act 2004.),local-authority:LBH
17_05993_OUT-condition-02,Condition 2,"The development hereby permitted shall be carried out in accordance with the approved plans and documents listed in this notice, other than where those details are altered pursuant to the requirements of the conditions of this planning permission.",For the avoidance of doubt and in the interests of proper planning.,local-authority:LBH
17_05993_OUT-condition-03,Condition 3,"With the exception of Ground Works, Site Preparation Works and works to Wimborne House, no development shall commence until a Phasing Plan identifying the Development Phases and associated infrastructure works (including highways works) has been submitted to and approved by the Local Planning Authority. The development shall be carried out in accordance with the approved Phasing Plan unless otherwise agreed in writing with the Local Planning Authority.",To ensure that the development is carried out in appropriate phases and to allow the phasing plan to be amended to reflect changes to the phasing of the development that were not foreseen at the date when the phasing plan was approved.,local-authority:LBH
17_05993_OUT-condition-04,Condition 4,"Notwithstanding the details submitted with the application, prior to the construction of any building within the relevant Development Phase, the following details for that Development Phase shall be submitted to and approved in writing by the Local Planning Authority: i. Enclosures, screened facilities and/or internal areas of the proposed buildings to be used for the storage of recycling containers, wheeled refuse bins and any other refuse storage containers where applicable; ii. Satisfactory points of collection; and iii. Details of the refuse and recycling collection arrangements in connection with the construction works The development shall be implemented and appropriate waste storage and recycling for construction, excavation and demolition waste on site (CED) for disposal off site should be provided fully in accordance with the approved details before the development is occupied and the development shall be managed in accordance with the approved details.","To ensure that satisfactory refuse and recycling facilities for construction, excavation and demolition are provided for each phase of the development. (Policies 5.17 of the London Plan and EN7 of the Lambeth Local Plan 2015)",local-authority:LBH
17_05993_OUT-condition-05,Condition 5,"Applications for the approval of the reserved matters (being appearance, landscaping and internal layout) for each relevant Development Phase, shall be made to the Local Planning Authority before the expiration of five years from the date of this permission.","To comply with Section 51 of the Planning and Compulsory Purchase Act, 2014.",local-authority:LBH
17_05993_OUT-condition-06,Condition 6,"Before development commences within a Development Phase (other than for site investigation work and works to Wimborne House) the following components of a scheme to deal with the risks associated with contamination in each Development Phase shall be submitted to and approved in writing by the Local Planning Authority: i) A site investigation scheme, based on previous findings to provide information for a detailed assessment of the risk to all receptors that are likely to be affected, including those off-site; ii) The site investigation results and the detailed risk assessment resulting from i); iii) An options appraisal and remediation strategy giving full details of the remediation measures required and how they are to be undertaken; iv) A verification plan providing details of the data that will be collected in order to demonstrate that the works set out in iii) are complete and identifying any requirements for longer-term monitoring of pollutant linkages, maintenance and arrangements for contingency action. The development shall thereafter be implemented in accordance with the details and measures approved. Prior to occupation of any part of the development or in accordance with a time table submitted to and agreed in writing with the Local Planning Authority, verification report(s) demonstrating completion of the works set out in the approved remediation strategy and the effectiveness of the remediation shall be submitted to and approved in writing by the Local Planning Authority. The report shall include results of sampling and monitoring carried out in accordance with the approved verification plan to demonstrate that the site remediation criteria have been met. It shall also include any plan for longer-term monitoring of pollutant linkages, maintenance and arrangements for contingency action, as identified in the verification plan, and for the reporting of this to the Local Planning Authority. If, during development, contamination not previously identified is found to be present at the site then no further development shall be carried out until the developer has submitted, and obtained written approval from the Local Planning Authority for, an amendment to the remediation strategy detailing how this unsuspected contamination will be dealt with.","To safeguard future users or occupiers of this site and the wider environment from irreversible risks associated with the contaminants which are present by ensuring that the contaminated land is properly treated and made safe before development. Depending on the outcome of any ground investigation and subsequent risk assessment, it may be necessary for remediation to be carried out. If this is the case, it will be necessary to demonstrate that any work has been carried out effectively and the environmental risks have been satisfactorily managed (Policies 5.21 of the London Plan and EN4 of the Lambeth Local Plan 2015).",local-authority:LBH
17_05993_OUT-condition-07,Condition 7,"With the exception of works to Wimborne House, no demolition within a Development Phase shall commence until full details of the proposed demolition methodology for that phase, in the form of a Method of Demolition Statement, has been submitted to and approved in writing by the Local Planning Authority in consultation with Transport for London and Lambeth Highway Authority. The Method of Demolition Statement shall include details of: a) The notification of neighbours (including a named contact) with regard to the timing and coordination of works; b) Advance notification of road closures; c) Parking, deliveries, and storage; d) Dust and noise mitigation measures to be deployed including identification of sensitive receptors and ongoing monitoring; e) Measures to prevent the deposit of mud and debris on the public highway f) A temporary lighting strategy, including details of temporary lighting of all public areas and buildings showing acceptable positioning and levels of glare; g) Measures to mitigate the impact of demolition on the amenity of the area; and h) Any other measures to mitigate the impact of demolition upon the amenity of the area and the function and safety of the highway network. The details of the approved Method of Demolition Statement must be implemented and complied with for the duration of the demolition process, unless the written consent of the Local Planning Authority is received for any variation.","This is required prior to demolition to ensure minimal nuisance or disturbance is caused to the amenities of adjoining occupiers and of the area generally, and avoid hazard and obstruction to the public highway during the whole of the demolition period. (Policies T6 and Q2 of the Lambeth Local Plan 2015).",local-authority:LBH
17_05993_OUT-condition-08,Condition 8,"With the exception of works to Wimborne House, no development shall commence within a Development Phase until a Construction and Environmental Management Plan (CEMP) for that phase has been submitted to and approved in writing by the Local Planning Authority in consultation with Transport for London and Lambeth Highway Authority. The CEMP shall include details of the following relevant measures: i. An introduction consisting of construction phase environmental management plan definitions and abbreviations and project description and location; ii. A description of management responsibilities; iii. A description of the construction programme which identifies activities likely to cause high levels of noise or dust; iv. Site working hours and a named person for residents to contact; v. Detailed Site logistics arrangements; vi. Details regarding parking, deliveries, and storage; vii. Details regarding noise mitigation measures to be deployed including identification of sensitive receptors and ongoing monitoring; viii. An Air Quality and Dust Management Plan (AQDMP), identification of sensitive receptors and ongoing monitoring ; ix. A suitably qualified person shall develop separate scheme of noise monitoring and management; x. Measures to mitigate the impact of construction on the amenity of the area and safety of the highway network; and xi. Communication procedures with the LBL and local community regarding key construction issues - newsletters, fliers etc. The construction shall thereafter be carried out in accordance with the details and measures approved in the CEMP, unless the written consent of the Local Planning Authority is received for any variation.",Development must not commence before this condition has been discharged in order to avoid hazard and obstruction being caused to users of the public highway and to safeguard the amenity of residents during the whole of the construction period. (Policies T6 and Q2 of the Lambeth Local Plan 2015).,local-authority:LBH
17_05993_OUT-condition-09,Condition 9,"No development shall commence within a Development Phase (with the exception of Ground Works, Site Preparation Works and Works to Wimborne House) until a scheme of Advanced Infrastructure Works associated with that Development Phase is submitted to and approved in writing by the Local Planning Authority. The scheme shall include: i. Underground drainage details; ii. Below ground energy infrastructure; iii. Below ground services and utilities; iv. Groundworks, earthworks, contouring and levels; and v. A statement of compliance with the site wide strategies as illustrated in the approved application documents. Development shall be carried out in accordance with the approved details unless otherwise agreed in writing with the Local Planning Authority.","Development must not commence before this condition has been discharged in order ensure that appropriate arrangements are made for servicing, utilities and infrastructure and to avoid potential conflicts between am impacts upon the development as proposed and its servicing, utilities and infrastructure, in the interests of a sustainable development (NPPF).",local-authority:LBH
17_05993_OUT-condition-10,Condition 10,"With exception of works to Wimborne House, no development above ground level within a Development Phase, shall commence until details of the Final drainage strategy, the implementation, the maintenance and the management of the sustainable drainage scheme have been submitted to and approved by the local planning authority. The scheme shall be implemented and thereafter managed and maintained in accordance with the approved details. Those details shall include: a) the final surface water drainage design drawn to scale, showing all connections; b) a timetable for its implementation; c) a management and maintenance plan for the lifetime of the development which shall include the arrangements for adoption by any public body or statutory undertaker, or any other arrangements to secure the operation of the sustainable drainage scheme throughout its lifetime; and. d) the final flood evacuation plan.","To manage the water environment of the development and mitigate the impact on flood risk, water quality, habitat and amenity value (Policies EN5 and EN6 of Lambeth Local Plan 2015).",local-authority:LBH
