reference,name,address-text,postcode,description,geometry
132900_LPL_2022-site,"St Michael And All Angels Vicarage, Orton Road, Manchester M23 0LH","St Michael And All Angels Vicarage, Orton Road, Manchester M23 0LH",M23 0LH,,
17_05993_OUT-site,"South Lambeth Estate, Dorset Road, London SW8 1AH","South Lambeth Estate, Dorset Road, London SW8 1AH",SW8 1AH,,
17_06112_FUL-site,"Land on the Westbury Estate, Wandsworth Road, London SW8 3ND","Land on the Westbury Estate, Wandsworth Road, London SW8 3ND",SW8 3ND,,
18_01443_FUL-site,"32 Rita Road, London SW8 1JU","32 Rita Road, London SW8 1JU",SW8 1JU,,
19_00847_FUL-site,"202 Paulet Road, London SE5 9JF","202 Paulet Road, London SE5 9JF",SE5 9JF,,
2011_0734-site,"Colville Estate, London, N1 5DB",,,,
2012_2584-site,"Colville Estate, Phase 2 Plots C, E and F","Colville Estate, London, N1",N1,"Land bounded by Branch Place to the north, Bridport Place to the west and Harvey Street to the east.",
2020_2026-site,"Flat A, 26 Albion Road","Flat A, 26 Albion Road, Hackney, London",N16 9PH,,
2023_1428-site,4 John Street London WC1N 2ES,"4 John Street, London",WC1N 2ES,,
2025_1674-site,77 Stoke Newington Church Street,"77 Stoke Newington Church Street, Hackney, Hackney, London",N16 0AS,,
2026_0692-site,"Upper Floor Flat, 77 Stoke Newington Church Street","Upper Floor Flat, 77 Stoke Newington Church Street, Hackney, London",N16 0AS,,
25_00888_PIP-site,"Inglenook, Ingol Lane, Hambleton, Poulton-Le-Fylde, Lancashire FY6 9BJ","Inglenook, Ingol Lane, Hambleton, Poulton-Le-Fylde, Lancashire FY6 9BJ",FY6 9BJ,,
26_01092_ROC-site,"12 Darrs Lane, Northchurch, Berkhamsted, Hertfordshire HP4 3RH","12 Darrs Lane, Northchurch, Berkhamsted, Hertfordshire HP4 3RH",HP4 3RH,,
26_01163_DRC-site,"Hemel Hempstead School, Heath Lane, Hemel Hempstead, Hertfordshire HP1 1TX","Hemel Hempstead School, Heath Lane, Hemel Hempstead, Hertfordshire HP1 1TX",HP1 1TX,,
26_01189_DRC-site,"Amaravati Buddhist Monastery, St Margarets, Great Gaddesden, Hemel Hempstead, Hertfordshire HP1 3BZ","Amaravati Buddhist Monastery, St Margarets, Great Gaddesden, Hemel Hempstead, Hertfordshire HP1 3BZ",HP1 3BZ,,
26_01380_FUL-site,"5 Lessar Avenue, London SW4 9HL","5 Lessar Avenue, London SW4 9HL",SW4 9HL,,
DC_15_092295-site,Deptford Wharves,"Crown, New Baltic, Park, Bridge and Victoria Wharves, bounded by Grove, Dragoon and Evelyn Streets together with Oxestalls Road, London",SE8,"Land bounded by Oxestalls Road, Grove Street, Dragoon Road and Evelyn Street, excluding Scott House, 185 Grove Street.",
DC_16_097629-site,Lewisham Retail Park,"Lewisham Retail Park, Loampit Vale, London",SE13 7SN,Lewisham Retail Park and 66-76 Loampit Vale.,
DC_16_098622-site,77 Burnt Ash Hill,"77 Burnt Ash Hill, London",SE12 0AQ,,
PLA_2026_000306-site,"1 Goods Yard Street, Manchester M3 3BG","1 Goods Yard Street, Manchester M3 3BG",M3 3BG,,
PLA_2026_000453-site,"1 Blackburn Gardens, Manchester M20 3YH","1 Blackburn Gardens, Manchester M20 3YH",M20 3YH,,
