reference,planning-application,document-url,documentation-url,name,replaces,public-register-status
132900_LPL_2022-doc-01,132900/LPL/2022,,https://arcusbe.manchester.gov.uk/pr/s/detail/a1DSI000007GLWAMAW?c__r=Arcus_BE_Public_Register,2022-05-16 — 961580.pdf,,publish
132900_LPL_2022-doc-02,132900/LPL/2022,,https://arcusbe.manchester.gov.uk/pr/s/detail/a1DSI000007GLWAMAW?c__r=Arcus_BE_Public_Register,2022-05-16 — delegated report.pdf,,publish
132900_LPL_2022-doc-03,132900/LPL/2022,,https://arcusbe.manchester.gov.uk/pr/s/detail/a1DSI000007GLWAMAW?c__r=Arcus_BE_Public_Register,2022-03-21 — BLOCK PLAN ST MICHAEL AND ALL ANGELS.pdf,,publish
132900_LPL_2022-doc-04,132900/LPL/2022,,https://arcusbe.manchester.gov.uk/pr/s/detail/a1DSI000007GLWAMAW?c__r=Arcus_BE_Public_Register,2022-02-08 — app form R.pdf,,publish
132900_LPL_2022-doc-05,132900/LPL/2022,,https://arcusbe.manchester.gov.uk/pr/s/detail/a1DSI000007GLWAMAW?c__r=Arcus_BE_Public_Register,2022-02-08 — Memo to The Church of England D.pdf,,publish
132900_LPL_2022-doc-06,132900/LPL/2022,,https://arcusbe.manchester.gov.uk/pr/s/detail/a1DSI000007GLWAMAW?c__r=Arcus_BE_Public_Register,2022-02-08 — Sanderoof Overview Noxite Specification.pdf,,publish
132900_LPL_2022-doc-07,132900/LPL/2022,,https://arcusbe.manchester.gov.uk/pr/s/detail/a1DSI000007GLWAMAW?c__r=Arcus_BE_Public_Register,2022-02-08 — Sanderoof Overview Tecnatorch Specification.pdf,,publish
132900_LPL_2022-doc-08,132900/LPL/2022,,https://arcusbe.manchester.gov.uk/pr/s/detail/a1DSI000007GLWAMAW?c__r=Arcus_BE_Public_Register,2022-02-08 — site plan scan st michael and all angels b.pdf,,publish
17_05993_OUT-doc-001,17/05993/OUT,https://planning.lambeth.gov.uk/online-applications/files/406327B6928EB066D88B0D9727CC585F/pdf/17_05993_OUT--2379648.pdf,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2019-09-26 | Committee Report | fs),,publish
17_05993_OUT-doc-002,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2019-09-26 | Supporting Docs | SECOND ADDENDUM - ©,,publish
17_05993_OUT-doc-003,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2019-09-26 | Supporting Docs | PRINTED MINUTES - ©,,publish
17_05993_OUT-doc-004,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2019-09-26 | Section 106 | UNILATERAL UNDERTAKING,,publish
17_05993_OUT-doc-005,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2019-09-26 | Supporting Docs | FIRST ADDENDUM - ©,,publish
17_05993_OUT-doc-006,17/05993/OUT,https://planning.lambeth.gov.uk/online-applications/files/E894D12848BEB97593A03A569EE1E834/pdf/17_05993_OUT-PEOUTZ_TEMPLATE__PH_-2379742.pdf,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2019-09-26 | Decision Notice | PEOUTZ TEMPLATE (PH) - fe),,publish
17_05993_OUT-doc-007,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2018-05-18 | Plans - Revised | BLOCK A ELEVATIONS SHEET 2,,publish
17_05993_OUT-doc-008,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2018-05-18 | Plans - Revised | BLOCK A DWEELING UNIT TYPES - SHEET 1 OF 5,,publish
17_05993_OUT-doc-009,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2018-05-18 | Plans - Revised | BLOCK A - ROOF PLAN,,publish
17_05993_OUT-doc-010,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,"2018-05-18 | Plans - Revised | BLOCK A PROPOSED SECTIONS A, B AND C",,publish
17_05993_OUT-doc-011,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2018-05-18 | Supporting Docs | ENERGY AND SUSTAINABILITY ADDENDUM,,publish
17_05993_OUT-doc-012,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2018-05-18 | Plans | CYCLE STORAGE,,publish
17_05993_OUT-doc-013,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2018-05-18 | Plans - Revised | BLOCK A DWEELING UNIT TYPES - SHEET 3 OF 5,,publish
17_05993_OUT-doc-014,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2018-05-18 | Plans - Revised | BLOCK A DWELLING UNIT TYPES - SHEET 5 OF 5,,publish
17_05993_OUT-doc-015,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2018-05-18 | Plans - Revised | BLOCK A - LEVEL 104 AND 105,,publish
17_05993_OUT-doc-016,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2018-05-18 | Plans - Revised | BLOCK A - LEVEL 100 AND 101,,publish
17_05993_OUT-doc-017,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2018-05-18 | Plans - Revised | BLOCK A - LEVEL 102 AND 103,,publish
17_05993_OUT-doc-018,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2018-05-18 | Plans - Revised | PHASE 1 PROPOSED ELEVATIONS AND SECTIONS SHEET 1 OF 2,,publish
17_05993_OUT-doc-019,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2018-05-18 | Plans - Revised | BLOCK A DWEELING UNIT TYPES - SHEET 4 OF 5,,publish
17_05993_OUT-doc-020,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2018-05-18 | Plans - Revised | PART BLOCK A - 124 CLAPHAM ROAD SHEET 2 OF 2,,publish
17_05993_OUT-doc-021,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2018-05-18 | Plans - Revised | BLOCK A DWEELING UNIT TYPES - SHEET 2 OF 5,,publish
17_05993_OUT-doc-022,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2018-05-18 | Plans - Revised | SOUTH ELEAVTION AND GALLERY ACCESS SECTION,,publish
17_05993_OUT-doc-023,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2018-02-16 | Supporting Docs | AFFORDABLE HOUSING VIABILITY APPRAISAL,,publish
17_05993_OUT-doc-024,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2017-12-21 | Planning Statement | fs),,publish
17_05993_OUT-doc-025,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2017-12-18 | Plans | GENERAL ARRANGEMENT - PARKING LAYOUT,,publish
17_05993_OUT-doc-026,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2017-12-18 | Plans | GENERAL ARRANGEMENT - SECTION LAYOUT,,publish
17_05993_OUT-doc-027,17/05993/OUT,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,2017-12-18 | Plans | TYPICAL WALL DETAIL - BRICK WALL AND RAILING DETAIL,,publish
