reference,name,description
publish,Publish,The material has been assessed as suitable for public availability on the planning register.
withhold,Withhold,The material should not be made publicly available because access needs to be controlled.
not-assessed,Not assessed,No decision has yet been recorded about whether the material is suitable for public availability.
