entity,reference,name,planning-data-reference,dataset,prefix,entry-date,start-date,end-date
26,local-authority:ADU,Adur District Council,ADU,local-authority,local-authority,2025-02-19,,
27,local-authority:ALL,Allerdale Borough Council,ALL,local-authority,local-authority,2025-02-19,,2023-03-31
28,local-authority:AMB,Amber Valley Borough Council,AMB,local-authority,local-authority,2025-02-19,,
29,local-authority:ARU,Arun District Council,ARU,local-authority,local-authority,2025-02-19,,
30,local-authority:ASF,Ashford Borough Council,ASF,local-authority,local-authority,2025-02-19,,
31,local-authority:ASH,Ashfield District Council,ASH,local-authority,local-authority,2025-02-19,,
32,local-authority:AYL,Aylesbury Vale District Council,AYL,local-authority,local-authority,2025-02-19,,2020-03-31
33,local-authority:BAB,Babergh District Council,BAB,local-authority,local-authority,2025-02-19,,
34,local-authority:BAE,Bassetlaw District Council,BAE,local-authority,local-authority,2025-02-19,,
35,local-authority:BAI,Basildon Borough Council,BAI,local-authority,local-authority,2025-02-19,,
36,local-authority:BAN,Basingstoke and Deane Borough Council,BAN,local-authority,local-authority,2025-02-19,,
37,local-authority:BAR,Barrow-in-Furness Borough Council,BAR,local-authority,local-authority,2025-02-19,,2023-03-31
38,local-authority:BAS,Bath and North East Somerset Council,BAS,local-authority,local-authority,2025-02-19,1996-04-01,
39,local-authority:BBD,Blackburn with Darwen Borough Council,BBD,local-authority,local-authority,2025-02-19,1998-04-01,
40,local-authority:BDF,Bedford Borough Council,BDF,local-authority,local-authority,2025-02-19,2009-04-01,
41,local-authority:BDG,London Borough of Barking and Dagenham,BDG,local-authority,local-authority,2025-02-19,,
42,local-authority:BEN,London Borough of Brent,BEN,local-authority,local-authority,2025-02-19,,
43,local-authority:BEX,London Borough of Bexley,BEX,local-authority,local-authority,2025-02-19,,
44,local-authority:BIR,Birmingham City Council,BIR,local-authority,local-authority,2025-02-19,1986-07-01,
45,local-authority:BKM,Buckinghamshire County Council,BKM,local-authority,local-authority,2025-02-19,1905-06-19,2020-03-31
46,local-authority:BLA,Blaby District Council,BLA,local-authority,local-authority,2025-02-19,,
47,local-authority:BMH,Bournemouth Borough Council,BMH,local-authority,local-authority,2025-02-19,1905-06-19,2019-03-31
48,local-authority:BNE,London Borough of Barnet,BNE,local-authority,local-authority,2025-02-19,,
49,local-authority:BNH,Brighton and Hove City Council,BNH,local-authority,local-authority,2025-02-19,1905-06-19,
50,local-authority:BNS,Barnsley Metropolitan Borough Council,BNS,local-authority,local-authority,2025-02-19,1974-04-01,
51,local-authority:BOL,Bolton Metropolitan Borough Council,BOL,local-authority,local-authority,2025-02-19,1974-04-01,
52,local-authority:BOS,Bolsover District Council,BOS,local-authority,local-authority,2025-02-19,,
53,local-authority:BOT,Boston Borough Council,BOT,local-authority,local-authority,2025-02-19,,
54,local-authority:BPC,"Bournemouth, Christchurch and Poole Council",BPC,local-authority,local-authority,2025-02-19,2019-04-01,
55,local-authority:BPL,Blackpool Borough Council,BPL,local-authority,local-authority,2025-02-19,1905-06-20,
56,local-authority:BRA,Braintree District Council,BRA,local-authority,local-authority,2025-02-19,,
57,local-authority:BRC,Bracknell Forest Council,BRC,local-authority,local-authority,2025-02-19,1998-04-01,
58,local-authority:BRD,City of Bradford Metropolitan District Council,BRD,local-authority,local-authority,2025-02-19,1974-04-01,
59,local-authority:BRE,Breckland District Council,BRE,local-authority,local-authority,2025-02-19,,
60,local-authority:BRM,Bromsgrove District Council,BRM,local-authority,local-authority,2025-02-19,,
61,local-authority:BRO,Broadland District Council,BRO,local-authority,local-authority,2025-02-19,,
62,local-authority:BRT,Broxtowe Borough Council,BRT,local-authority,local-authority,2025-02-19,,
63,local-authority:BRW,Brentwood Borough Council,BRW,local-authority,local-authority,2025-02-19,,
64,local-authority:BRX,Broxbourne Borough Council,BRX,local-authority,local-authority,2025-02-19,,
65,local-authority:BRY,London Borough of Bromley,BRY,local-authority,local-authority,2025-02-19,,
66,local-authority:BST,Bristol City Council,BST,local-authority,local-authority,2025-02-19,1905-06-18,
67,local-authority:BUC,Buckinghamshire Council,BUC,local-authority,local-authority,2025-02-19,2020-04-01,
68,local-authority:BUN,Burnley Borough Council,BUN,local-authority,local-authority,2025-02-19,,
69,local-authority:BUR,Bury Metropolitan Borough Council,BUR,local-authority,local-authority,2025-02-19,1974-04-01,
70,local-authority:CAB,Cambridge City Council,CAB,local-authority,local-authority,2025-02-19,,
71,local-authority:CAM,Cambridgeshire County Council,CAM,local-authority,local-authority,2025-02-19,,
