reference,name,description,entry-date,end-date
car-space,Cars,"Standard on-site parking spaces for cars.",2025-07-15,
light-goods-vehicle-space,Light Goods/Public Carrier Vehicles,"Vans, delivery vehicles, and public carriers.",2025-07-15,
motorcycle-space,Motorcycles,"Spaces designated for motorbikes.",2025-07-15,
disability-space,Disability Space,"Accessible parking spaces.",2025-07-15,
cycle-space,Cycle Space,"Bicycle parking, including racks or shelters.",2025-07-15,
blue-badge-space,Blue Badge Spaces,"Parking spaces reserved for blue badge holders.",2025-07-15,
bus,Bus,"Parking bays or laybys for buses.",2025-07-15,
car-club,Car Club,"Parking spaces allocated for car club vehicles.",2025-07-15,
resi-off-street,Resi Only Off Street Parking,"Private off-street parking for residents only.",2025-07-15,
other,Other,"Other parking types not covered by the defined categories.",2025-07-15,
