application-types,name,description,notes,entry-date,start-date,end-date
demolition-con-area;hh,Householder planning permission and demolition in a conservation area,Use where a householder application and consent for relevant demolition in a conservation area are made together,,2026-04-14,2026-04-14,
hh;lbc,Householder planning permission and listed building consent,Use where householder planning permission and listed building consent are sought together,,2026-04-14,2026-04-14,
demolition-con-area;full,Full planning permission and demolition in a conservation area,Use where full planning permission and consent for relevant demolition in a conservation area are sought together,,2026-04-14,2026-04-14,
full;lbc,Full planning permission and listed building consent,Use where full planning permission and listed building consent are sought together,,2026-04-14,2026-04-14,
advertising;full,Full planning permission and consent to display advertisements,Use where full planning permission and consent to display advertisements are sought together,,2026-04-14,2026-04-14,
lbc;ldc-proposed-work-lb,Certificate of lawfulness of proposed works to a listed building and listed building consent,Use where a certificate of lawfulness of proposed works to a listed building and listed building consent are sought together,,2026-04-14,2026-04-14,
full;haz-substance-consent,Full planning permission and hazardous substances consent,Potential future combination for cases where full planning permission and hazardous substances consent are sought together. Not active in the current implementation,,2026-04-14,,
