reference,name,description,application-type,legislation,notes
ldc-existing-use,LDC Existing Use,Existing use of the site,ldc,,
ldc-prospective-use,LDC Proposed Use,Prospective use of the site,ldc,,
ldc-proposed-work-lb,LDC Proposed Work to a Listed Building,Proposed work to a listed building,ldc,,
outline-some,Outline Planning Permission with Some Matters Reserved,Outline planning permission with some matters reserved,outline,,
outline-all,Outline Planning Permission with All Matters Reserved,Outline planning permission with all matters reserved,outline,,
pa-extension,Larger Home Extension,Planning application for extension,prior-approval,,
pa-storey,Additional storeys,Enlargement of a dwellinghouse by construction of additional storeys,prior-approval,,
