reference,name,description,application-type,legislation,notes,entry-date,start-date,end-date
ldc-existing-use,LDC Existing Use,Existing use of the site,ldc,,,2025-10-29,,
ldc-prospective-use,LDC Proposed Use,Prospective use of the site,ldc,,,2025-10-29,,
ldc-proposed-work-lb,LDC Proposed Work to a Listed Building,Proposed work to a listed building,ldc,,,2025-10-29,,
outline-some,Outline Planning Permission with Some Matters Reserved,Outline planning permission with some matters reserved,outline,,,2025-10-29,,
outline-all,Outline Planning Permission with All Matters Reserved,Outline planning permission with all matters reserved,outline,,,2025-10-29,,
pa-extension,Larger Home Extension,Planning application for extension,prior-approval,,,2025-10-29,,
pa-storey,Additional storeys,Enlargement of a dwellinghouse by construction of additional storeys,prior-approval,,,2025-10-29,,
