issue_number,issue_url,api_url,repository_owner,repository_name,author_login,author_type,title,body,state,comments_count,labels_display,label_count,created_at,updated_at,last_activity_at,fetched_at
397,https://github.com/digital-land/planning-application-data-specification/issues/397,https://api.github.com/repos/digital-land/planning-application-data-specification/issues/397,digital-land,planning-application-data-specification,colmjude,User,Consider adding a sheltered accommodation field to residential units,"GLA has asked whether `sheltered accommodation` should be captured as an additional field in the residential units model.

## What GLA is asking for

The ask appears to be for sheltered accommodation to be captured separately from the basic unit type.

This reflects the GLA approach where the underlying dwelling type can still be recorded, for example flat or house, while also identifying whether the unit is sheltered accommodation.

## What we still need from GLA

- the exact use case for a separate sheltered accommodation field
- how often this distinction is operationally important
- whether the value is needed nationally or mainly within the London model
- examples showing the information lost if sheltered accommodation is only represented indirectly or elsewhere",open,1,suggestion;Backlog;Policy;Submissions,4,2026-03-19T08:05:19Z,2026-03-19T08:05:53Z,2026-03-19T08:05:53Z,2026-03-21T05:23:50+00:00
396,https://github.com/digital-land/planning-application-data-specification/issues/396,https://api.github.com/repos/digital-land/planning-application-data-specification/issues/396,digital-land,planning-application-data-specification,colmjude,User,Consider adding a number of habitable rooms field to residential units,"GLA has asked whether `number of habitable rooms` should be included in the residential units part of the national standard.

## What GLA is asking for

The ask is to add `number of habitable rooms` as an additional field within the residential unit model.

At present, the source materials show that GLA captures this, but they do not yet clearly explain the national problem this field would solve.

## What we still need from GLA

- what this field is used for in practice
- whether there is a standard definition they apply
- whether the field can be collected consistently across LPAs
- examples showing why bedrooms or unit counts are insufficient for the use case they have in mind",open,1,suggestion;Backlog;Policy;Submissions,4,2026-03-19T08:03:40Z,2026-03-19T08:04:08Z,2026-03-19T08:04:08Z,2026-03-21T05:23:50+00:00
395,https://github.com/digital-land/planning-application-data-specification/issues/395,https://api.github.com/repos/digital-land/planning-application-data-specification/issues/395,digital-land,planning-application-data-specification,colmjude,User,Consider adding a development type field to residential units,"GLA has asked whether the national standard should include a `development type` field.

GLA uses this information to support starts and completions reporting.

## What GLA is asking for

The ask is to include a `development type` field and an associated set of values in the standard.

The discussion to date suggests this may be more appropriate as decision-stage data populated or corrected by the LPA, rather than as a field applicants are expected to complete at submission stage.

## What we still need from GLA

- the exact list of development types they use
- how those values are used in reporting and operationally
- whether they expect applicants to provide the value, or boroughs to supply or correct it
- examples showing why the field is needed and what cannot be derived without it

We also need to confirm whether this is intended to align with `PS1` / `PS2` codes and, if so, what the canonical source is.",open,1,suggestion;Backlog;Policy;Submissions,4,2026-03-19T07:56:30Z,2026-03-19T07:58:16Z,2026-03-19T07:58:16Z,2026-03-21T05:23:50+00:00
394,https://github.com/digital-land/planning-application-data-specification/issues/394,https://api.github.com/repos/digital-land/planning-application-data-specification/issues/394,digital-land,planning-application-data-specification,colmjude,User,Consider adding a provider field to residential units,"GLA has asked whether the national standard should include a `provider` field within residential units module.

The field would be used to record who is delivering the housing, for example a private developer, housing association, or local authority.

## What GLA is asking for

GLA has said this field is useful in its current model and wants it considered for inclusion in the national standard.

The key question is whether this information should be captured nationally, and if so whether it belongs at submission stage or later in the process.

## What we still need

- what operational, reporting, or policy decisions this field supports in practice
- whether applicants can reliably provide it at submission stage
- whether the value is mainly local or London-specific, or whether there is a stronger national case
- worked examples showing where the absence of this field causes a real problem",open,1,suggestion;Backlog;Policy,3,2026-03-19T07:34:36Z,2026-03-19T07:54:55Z,2026-03-19T07:54:55Z,2026-03-21T05:23:50+00:00
393,https://github.com/digital-land/planning-application-data-specification/issues/393,https://api.github.com/repos/digital-land/planning-application-data-specification/issues/393,digital-land,planning-application-data-specification,colmjude,User,Planning conditions: timing categories and triggers,"I’m sharing where we have got to on condition categories/triggers, and where the current approach might start to break on real condition text.

## Purpose of this post
1. Set out what we know so far from condition reviews and community feedback.
2. Show where simple stage labels do not necessarily map cleanly to real condition wording.
3. Agree the smallest changes we need now.
4. Clarify what categorisation is for in the data model, and what rules it needs to be reliable.

## Why now
This has come up more than once in recent community sessions.

In January, conditions (and the link between decisions and conditions) were already in scope.
In February, people asked directly about condition labels such as pre-commencement and pre-occupation.

We said we had started this work and would share it for feedback.  
This post does that.

## User need
`dd-need-040`

> As an applicant, developer, or agent, I need to know exactly when each condition must be complied with (e.g. before commencement, prior to occupation, before above-ground works, or ongoing) so that I can plan works appropriately and avoid unintentionally breaching a condition or triggering enforcement action.

In plain terms, we need to show:
- when a condition starts to apply
- when it stops (if it does)
- what action is needed at each point
- and when a condition is treated as discharged in practice

**Question: Are there any other things people need to know about conditions?**

## Starting point: stage-based triggers
- `pre-commencement (any works)`
- `pre-commencement (other than demolition/site clearance)`
- `prior to above-ground works`
- `prior to occupation or use`
- `non-dischargeable compliance`

These came from a planner review of decision notices where conditions are commonly grouped by stage.

This is useful, but a label is only valuable in data if it has clear rules and can be applied consistently.

**Question: What do you think of these categories? Useful? What don't they cover? etc**

-----
## Looking real examples

### What we tested

- Doncaster decision notice: `11/00246/EXTM`

### Example 1: one condition, more than one trigger (full text)
```text
Within 6 months of the date of this permission, full engineering details of all proposed highway works, including the highway improvements to Stevens Road and to the junctions of Stevens Road and Littlemoor Lane /Florence Avenue have been submitted to and approved in writing by the Local Planning Authority, and the works so approved shall be completed in full to the satisfaction of the Local Planning Authority before any of the dwellings is occupied.

REASON
In the interests of highway safety.
```

Why this matters:
- Trigger A: within 6 months -> submit details and get approval.
- Trigger B: before occupation -> complete approved works.

I read this as one condition has two trigger points and two different actions.

Planning feedback: Condition 3 can be read as submit/approve within 6 months, then comply before occupation.

### Example 2: event-based condition (full text)
```text
Should any unexpected significant contamination be encountered during development, all associated works shall cease and the Local Planning Authority (LPA) be notified in writing immediately. A Phase 3 remediation and Phase 4 verification report shall be submitted to the LPA for approval. The associated works shall not re-commence until the reports have been approved by the LPA.

REASON
To secure the satisfactory development of the site in terms of human health and the wider environment and pursuant to guidance set out in the National Planning Policy Framework.
```

Why this matters:
- The trigger is an event (“if contamination is found”), not a fixed stage.
- Work has to stop, details must be approved, then work can restart.

Planning feedback: Condition 19 can be read as a compliance condition unless triggered by contamination, then approval is required.

### What these examples show

1. Condition 3 shows a gap: one condition can have multiple trigger points.
2. Condition 19 shows another gap: some conditions are event-based, not stage-based.
3. A single stage label on its own does not always tell you what action is required and when discharge is recorded.

### Early practitioner feedback

Some conditions behave as both compliance and discharge, depending on what happens.

---

## Questions for discussion

1. Looking at the two examples, is this how your team would read and apply these conditions in real casework?
2. For a condition like Example 1 (condition 3), do you treat it as:
   - one condition with two checkpoints, or
   - two separate things to track?
3. In your current process, when do you mark a condition as “discharged”?
   - only when everything in the condition is done, or
   - in stages as each part is completed? (partially discharged)
4. Are event-triggered conditions like Example 2 (condition 19) common in your authority?
5. What is the minimum information you need in a condition record so applicants/agents can avoid breaches and officers can track them?
6. What problem are we actually trying to solve with categories?
   - What decision or task should categorisation improve (for example validation, case handling, reporting, enforcement, or applicant guidance)?
",open,1,community help wanted;Decision data,2,2026-03-04T10:24:09Z,2026-03-13T11:37:41Z,2026-03-13T11:37:41Z,2026-03-21T05:23:50+00:00
392,https://github.com/digital-land/planning-application-data-specification/issues/392,https://api.github.com/repos/digital-land/planning-application-data-specification/issues/392,digital-land,planning-application-data-specification,colmjude,User,Missing format constraints: phased approach and request for priority inputs,"Some fields currently have broad datatypes (for example string/number) without stricter format checks (for example date format, URL format, UUID shape).

### Current position

We have not applied strict format constraints across the board yet.

Why:
- The current model is aligned with broader planning.data datatype patterns.
- Submission data reflects real-world form input, which can be messy.
- Tightening too quickly could invalidate otherwise acceptable submissions and disrupt operations.

Our approach is phased hardening, not a single large tightening step.

### Why this is being asked for

Implementers are asking for stronger constraints because they:
- reduce downstream custom validation,
- improve consistency between systems,
- catch obvious data-quality problems earlier.

### Proposed next step

We want to introduce stricter checks in stages, starting with high-value, low-risk fields.

Please share priority candidates where stronger constraints would add clear value first.

For each candidate field, it would help to include:
- field name,
- proposed constraint (for example URL format, UUID, etc),
- expected benefit,
- risk of false invalids in real submissions.

This will help us build a practical first tranche of constraints with the best quality gain and lowest operational risk.
",open,0,community help wanted;model;enhancement;Submissions;Implementation;Data modelling,6,2026-03-04T09:07:26Z,2026-03-04T09:07:26Z,2026-03-04T09:07:26Z,2026-03-21T05:23:50+00:00
390,https://github.com/digital-land/planning-application-data-specification/issues/390,https://api.github.com/repos/digital-land/planning-application-data-specification/issues/390,digital-land,planning-application-data-specification,trinityboo13,User,[Requirement]: Land owner details,"### What is the need, use case, or requirement?

Planning officers can only validate an application if correct ownership certificate is signed and details on land ownership can be useful in terms of notifiying interested parties where the applicant is not the owner.

### Priority

Low

### Theme / tags

transparency

### Which part of the specification might this affect?

- [x] Submission (planning application)
- [ ] Decision stage
- [ ] Both
- [ ] Not sure",open,1,suggestion,1,2026-02-25T11:16:14Z,2026-03-04T09:16:35Z,2026-03-04T09:16:35Z,2026-03-21T05:23:50+00:00
389,https://github.com/digital-land/planning-application-data-specification/issues/389,https://api.github.com/repos/digital-land/planning-application-data-specification/issues/389,digital-land,planning-application-data-specification,pixeltrix,User,Methods for submitting applications,"Is the method of submitting applications within the scope of this specification?

On BOPS we support two methods of submission:

1. PlanX submits complete application with links to download files
2. Planning Portal submits a small JSON document which contains a link to download a zip file containing the complete application and all the documents

Ideally we'd only have to support one mechanism for the new specification in BOPS.",open,0,Integration,1,2026-02-13T15:35:26Z,2026-03-04T09:16:57Z,2026-03-04T09:16:57Z,2026-03-21T05:23:50+00:00
388,https://github.com/digital-land/planning-application-data-specification/issues/388,https://api.github.com/repos/digital-land/planning-application-data-specification/issues/388,digital-land,planning-application-data-specification,pixeltrix,User,Identifying the schema version to a consuming application,"Since there's no `version` or other such property in the JSON schema, what's the expected approach for identifying the version of the schema to validate against?

There is a reference to using the media type header in an early JSON Schema RFC - is this the intended way?
https://datatracker.ietf.org/doc/html/draft-handrews-json-schema-02#section-11.2

Whilst this works for HTTP-transmitted data what about long term storage of submissions and keeping track of what version they were created against?",open,1,model;Submissions;Implementation;Planning permission board,4,2026-02-13T15:23:52Z,2026-03-04T08:34:30Z,2026-03-04T08:34:30Z,2026-03-21T05:23:50+00:00
387,https://github.com/digital-land/planning-application-data-specification/issues/387,https://api.github.com/repos/digital-land/planning-application-data-specification/issues/387,digital-land,planning-application-data-specification,James-Planningportal,User,[Requirement]: Accept only certain valid entries for BNG Metric Tool publication dates; or remove as requirement is fulfilled elsewhere,"### What is the need, use case, or requirement?

The legislative requirements for BNG include a need for applicant to state the date the metric tool used for calculating biodiversity value was published, as per Article 7; Para 1A (c) (iii) here: https://www.legislation.gov.uk/uksi/2015/595/article/7

This is represented in this standard by a date field: https://github.com/digital-land/planning-application-data-specification/blob/main/specification/field/metric-publication-date.md

We have had reports from LPAs that this is a common cause of invalidation, and internal data research has shown that the vast majority of dates entered do not correspond with the relevant publication dates for the metric tools which, as per images below, are shown within the excel files themselves.

Some feedback suggested having a drop-down list of valid versions/dates, but this would also mean that this would need updating this every time a new version of either metric is released (or a workaround to allow 'newer' dates to be added if not included in selectable options), none which is ideal.

Therefore, we wanted to also raise the potential of not needing to have this detail on the module/standard at all going forward, as the information requirement is fulfilled by the detail in the file itself (and any intent by users to mislead on this date for whatever reason could be done in either location).

<img width=""937"" height=""601"" alt=""Image"" src=""https://github.com/user-attachments/assets/feb226f8-e003-471f-932f-66d31061b298"" />

<img width=""842"" height=""398"" alt=""Image"" src=""https://github.com/user-attachments/assets/4af352d6-a59e-45b3-b91f-07bf70d523d3"" />

### Priority

Medium

### Theme / tags

validation

### Which part of the specification might this affect?

- [x] Submission (planning application)
- [ ] Decision stage
- [ ] Both
- [ ] Not sure",open,1,,0,2026-02-04T12:17:12Z,2026-02-25T11:45:37Z,2026-02-25T11:45:37Z,2026-03-21T05:23:50+00:00
