issue_number,issue_url,label_name,label_description,label_colour,label_url,fetched_at
128,https://github.com/digital-land/planning-application-data-specification/issues/128,component: planning application req - checklist,,e4e669,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/component:%20planning%20application%20req%20-%20checklist,2026-04-01T05:44:27+00:00
128,https://github.com/digital-land/planning-application-data-specification/issues/128,component: checklist,,e4e669,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/component:%20checklist,2026-04-01T05:44:27+00:00
128,https://github.com/digital-land/planning-application-data-specification/issues/128,component: application reqs - checklist,,e4e669,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/component:%20application%20reqs%20-%20checklist,2026-04-01T05:44:27+00:00
128,https://github.com/digital-land/planning-application-data-specification/issues/128,component: application for tree works - checklist,,e4e669,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/component:%20application%20for%20tree%20works%20-%20checklist,2026-04-01T05:44:27+00:00
128,https://github.com/digital-land/planning-application-data-specification/issues/128,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
126,https://github.com/digital-land/planning-application-data-specification/issues/126,community help wanted,Extra attention from the community is needed,008672,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/community%20help%20wanted,2026-04-01T05:44:27+00:00
126,https://github.com/digital-land/planning-application-data-specification/issues/126,codelist/enum,,21D6D8,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/codelist/enum,2026-04-01T05:44:27+00:00
126,https://github.com/digital-land/planning-application-data-specification/issues/126,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
125,https://github.com/digital-land/planning-application-data-specification/issues/125,component:site address details,Re Site locations material,e4e669,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/component:site%20address%20details,2026-04-01T05:44:27+00:00
125,https://github.com/digital-land/planning-application-data-specification/issues/125,suggestion,,93F01E,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/suggestion,2026-04-01T05:44:27+00:00
125,https://github.com/digital-land/planning-application-data-specification/issues/125,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
123,https://github.com/digital-land/planning-application-data-specification/issues/123,suggestion,,93F01E,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/suggestion,2026-04-01T05:44:27+00:00
123,https://github.com/digital-land/planning-application-data-specification/issues/123,component:authority employee / member,,e4e669,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/component:authority%20employee%20/%20member,2026-04-01T05:44:27+00:00
123,https://github.com/digital-land/planning-application-data-specification/issues/123,person,,591603,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/person,2026-04-01T05:44:27+00:00
123,https://github.com/digital-land/planning-application-data-specification/issues/123,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
123,https://github.com/digital-land/planning-application-data-specification/issues/123,Policy,,D89782,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Policy,2026-04-01T05:44:27+00:00
120,https://github.com/digital-land/planning-application-data-specification/issues/120,component: pedestrian and vehicle access,,e4e669,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/component:%20pedestrian%20and%20vehicle%20access,2026-04-01T05:44:27+00:00
120,https://github.com/digital-land/planning-application-data-specification/issues/120,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
119,https://github.com/digital-land/planning-application-data-specification/issues/119,component:applicant name and address,,e4e669,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/component:applicant%20name%20and%20address,2026-04-01T05:44:27+00:00
119,https://github.com/digital-land/planning-application-data-specification/issues/119,component:agent name and address,,e4e669,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/component:agent%20name%20and%20address,2026-04-01T05:44:27+00:00
119,https://github.com/digital-land/planning-application-data-specification/issues/119,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
119,https://github.com/digital-land/planning-application-data-specification/issues/119,Policy,,D89782,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Policy,2026-04-01T05:44:27+00:00
118,https://github.com/digital-land/planning-application-data-specification/issues/118,spec-alignment,,d4c5f9,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/spec-alignment,2026-04-01T05:44:27+00:00
118,https://github.com/digital-land/planning-application-data-specification/issues/118,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
75,https://github.com/digital-land/planning-application-data-specification/issues/75,principle,,370755,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/principle,2026-04-01T05:44:27+00:00
75,https://github.com/digital-land/planning-application-data-specification/issues/75,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
69,https://github.com/digital-land/planning-application-data-specification/issues/69,component:site address details,Re Site locations material,e4e669,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/component:site%20address%20details,2026-04-01T05:44:27+00:00
69,https://github.com/digital-land/planning-application-data-specification/issues/69,suggestion,,93F01E,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/suggestion,2026-04-01T05:44:27+00:00
69,https://github.com/digital-land/planning-application-data-specification/issues/69,priority,,09141D,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/priority,2026-04-01T05:44:27+00:00
69,https://github.com/digital-land/planning-application-data-specification/issues/69,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
18,https://github.com/digital-land/planning-application-data-specification/issues/18,component:assessment of flood risk,,e4e669,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/component:assessment%20of%20flood%20risk,2026-04-01T05:44:27+00:00
18,https://github.com/digital-land/planning-application-data-specification/issues/18,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
16,https://github.com/digital-land/planning-application-data-specification/issues/16,component:immunity from listing,,e4e669,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/component:immunity%20from%20listing,2026-04-01T05:44:27+00:00
16,https://github.com/digital-land/planning-application-data-specification/issues/16,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
11,https://github.com/digital-land/planning-application-data-specification/issues/11,community help wanted,Extra attention from the community is needed,008672,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/community%20help%20wanted,2026-04-01T05:44:27+00:00
11,https://github.com/digital-land/planning-application-data-specification/issues/11,component:neighbour and community consultation,,e4e669,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/component:neighbour%20and%20community%20consultation,2026-04-01T05:44:27+00:00
11,https://github.com/digital-land/planning-application-data-specification/issues/11,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
10,https://github.com/digital-land/planning-application-data-specification/issues/10,community help wanted,Extra attention from the community is needed,008672,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/community%20help%20wanted,2026-04-01T05:44:27+00:00
10,https://github.com/digital-land/planning-application-data-specification/issues/10,component:neighbour and community consultation,,e4e669,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/component:neighbour%20and%20community%20consultation,2026-04-01T05:44:27+00:00
10,https://github.com/digital-land/planning-application-data-specification/issues/10,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
8,https://github.com/digital-land/planning-application-data-specification/issues/8,component:site address details,Re Site locations material,e4e669,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/component:site%20address%20details,2026-04-01T05:44:27+00:00
8,https://github.com/digital-land/planning-application-data-specification/issues/8,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
