issue_number,issue_url,label_name,label_description,label_colour,label_url,fetched_at
330,https://github.com/digital-land/planning-application-data-specification/issues/330,Community,Relates to the community,246ca3,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Community,2026-04-01T05:44:27+00:00
330,https://github.com/digital-land/planning-application-data-specification/issues/330,Decision data,,c4fdd3,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Decision%20data,2026-04-01T05:44:27+00:00
328,https://github.com/digital-land/planning-application-data-specification/issues/328,application-type,Questions and issues about application types,0075ca,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/application-type,2026-04-01T05:44:27+00:00
328,https://github.com/digital-land/planning-application-data-specification/issues/328,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
328,https://github.com/digital-land/planning-application-data-specification/issues/328,Improvement,,9e2d80,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Improvement,2026-04-01T05:44:27+00:00
321,https://github.com/digital-land/planning-application-data-specification/issues/321,suggestion,,93F01E,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/suggestion,2026-04-01T05:44:27+00:00
321,https://github.com/digital-land/planning-application-data-specification/issues/321,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
321,https://github.com/digital-land/planning-application-data-specification/issues/321,new-module,,AEDDA7,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/new-module,2026-04-01T05:44:27+00:00
321,https://github.com/digital-land/planning-application-data-specification/issues/321,Submissions,,e9186f,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Submissions,2026-04-01T05:44:27+00:00
321,https://github.com/digital-land/planning-application-data-specification/issues/321,Improvement,,9e2d80,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Improvement,2026-04-01T05:44:27+00:00
320,https://github.com/digital-land/planning-application-data-specification/issues/320,application-type,Questions and issues about application types,0075ca,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/application-type,2026-04-01T05:44:27+00:00
320,https://github.com/digital-land/planning-application-data-specification/issues/320,suggestion,,93F01E,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/suggestion,2026-04-01T05:44:27+00:00
